,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.69,0.96,1.3,0.92,0.74,0.58,0.65,0.46,0.38,0.48,0.45,0.36,0.37,0.3,0.36
f_1,1.45,1.0,0.85,0.86,0.84,0.6,0.41,0.47,0.47,0.45,0.39,0.34,0.31,0.25,0.37,0.32
d_1,1.04,1.17,1.0,0.92,0.92,0.71,0.5,0.45,0.4,0.58,0.41,0.45,0.36,0.36,0.31,0.26
c_1,0.78,1.14,1.09,1.0,1.33,0.75,0.52,0.34,0.43,0.37,0.41,0.32,0.37,0.32,0.28,0.36
b_1,1.07,1.2,1.09,0.76,1.0,1.34,0.57,0.5,0.49,0.57,0.44,0.49,0.43,0.39,0.33,0.38
a_1,1.35,1.67,1.39,1.36,0.76,1.0,0.68,0.66,0.64,0.5,0.49,0.66,0.52,0.52,0.54,0.45
h_1,1.84,2.38,2.04,1.87,1.73,1.5,1.0,0.81,1.18,0.86,0.81,0.75,0.64,0.63,0.63,0.8
d_0,1.54,2.03,2.19,2.97,2.05,1.55,1.21,1.0,1.18,0.75,0.95,0.9,0.74,0.76,0.81,0.81
g_1,2.21,2.1,2.59,2.33,1.99,1.69,0.87,0.83,1.0,0.95,1.16,0.73,0.65,0.63,0.63,0.72
c_0,2.59,2.18,1.75,2.65,1.64,2.15,1.22,1.34,1.05,1.0,0.95,1.24,0.82,0.72,0.82,0.79
f_0,2.04,2.51,2.58,2.51,2.32,1.8,1.24,1.04,0.93,1.0,1.0,0.98,0.83,1.18,0.86,0.63
b_0,2.32,2.79,2.14,3.28,1.98,1.46,1.31,1.07,1.39,0.77,0.98,1.0,0.9,0.91,1.2,0.89
h_0,2.71,3.1,2.82,2.74,2.27,1.93,1.55,1.32,1.59,1.16,1.18,1.15,1.0,0.79,0.91,1.07
e_0,2.9,3.95,2.74,3.11,2.34,2.08,1.65,1.42,1.57,1.37,0.85,1.12,1.31,1.0,1.27,1.02
a_0,3.32,2.82,3.11,3.56,2.97,1.92,1.59,1.28,1.6,1.28,1.12,0.83,1.11,0.76,1.0,0.91
g_0,2.86,3.18,3.72,2.82,2.7,2.21,1.26,1.26,1.44,1.36,1.61,1.11,0.95,0.93,1.13,1.0
