,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.89,1.25,1.65,1.8,3.76,20.93,29.48,39.35,32.27,37.59,65.06,71.99,78.77,100.15,155.68
f_1,1.12,1.0,1.1,1.31,1.55,3.27,16.13,25.61,29.38,30.48,35.25,50.23,59.43,58.18,83.99,121.51
d_1,0.78,0.9,1.0,1.0,1.35,2.87,15.44,18.28,23.25,33.86,33.19,46.71,55.71,59.11,79.82,94.84
c_1,0.62,0.77,1.0,1.0,1.7,2.83,15.02,19.6,16.49,20.18,21.88,42.36,49.02,50.75,74.26,98.74
b_1,0.55,0.64,0.75,0.6,1.0,3.05,11.99,15.49,15.81,19.03,19.74,36.77,33.81,44.32,57.5,86.65
a_1,0.27,0.3,0.34,0.35,0.33,1.0,6.23,7.74,7.82,9.61,10.52,14.62,19.75,21.46,29.73,41.39
h_1,0.05,0.06,0.07,0.07,0.09,0.16,1.0,1.48,1.44,1.61,1.81,2.95,3.33,3.73,4.97,7.98
g_1,0.03,0.04,0.05,0.05,0.06,0.13,0.66,1.0,1.15,1.27,1.38,2.55,2.57,2.89,3.72,4.84
d_0,0.03,0.03,0.04,0.06,0.07,0.13,0.69,0.91,1.0,0.94,1.18,1.96,2.36,2.63,3.64,5.13
c_0,0.03,0.03,0.03,0.05,0.05,0.11,0.62,0.78,1.08,1.0,1.51,1.78,2.53,2.41,3.08,4.11
b_0,0.03,0.03,0.03,0.04,0.05,0.09,0.56,0.74,0.88,0.67,1.0,1.61,2.48,2.15,2.84,3.92
f_0,0.02,0.02,0.02,0.02,0.03,0.07,0.32,0.39,0.56,0.58,0.58,1.0,1.27,1.44,2.33,2.13
a_0,0.01,0.02,0.02,0.02,0.03,0.05,0.29,0.37,0.41,0.42,0.43,0.79,1.0,1.18,1.64,2.06
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.27,0.35,0.38,0.41,0.49,0.7,0.84,1.0,1.46,1.98
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.25,0.29,0.29,0.34,0.4,0.63,0.66,1.0,1.29
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.2,0.19,0.23,0.26,0.47,0.46,0.49,0.77,1.0
