,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.89,1.67,1.43,1.61,1.39,0.64,0.63,0.52,0.69,0.5,0.55,0.51,0.43,0.67,0.45
f_1,1.59,0.66,1.37,1.3,1.2,1.11,0.51,0.56,0.5,0.68,0.5,0.82,0.32,0.51,0.47,0.44
c_1,1.15,1.55,0.65,1.83,1.67,1.13,0.68,0.31,0.59,0.64,0.45,0.44,0.42,0.5,0.5,0.43
d_1,1.79,1.47,1.34,0.64,1.48,1.19,0.64,0.93,0.53,0.47,0.55,0.59,0.4,0.52,0.46,0.27
b_1,1.5,1.99,0.96,1.59,0.62,2.06,0.76,0.63,0.77,0.73,0.82,0.48,0.43,0.59,0.53,0.49
a_1,1.83,1.95,2.05,2.01,0.88,0.58,0.79,0.74,0.64,0.86,0.83,0.6,0.67,0.8,0.53,0.61
h_1,2.24,2.45,2.18,2.12,2.17,1.92,0.57,0.81,0.85,0.95,0.74,0.71,0.79,0.65,0.71,0.66
d_0,1.5,2.44,2.97,2.94,2.47,2.22,1.14,0.64,0.71,1.01,0.84,0.84,0.65,0.76,0.76,0.79
c_0,2.46,2.7,3.75,1.57,2.29,2.08,1.06,1.1,0.63,1.12,1.11,0.8,0.69,0.77,0.79,0.7
g_1,2.35,2.66,2.43,2.33,2.47,2.18,0.84,0.95,0.84,0.54,0.94,0.94,0.56,0.77,0.78,0.94
b_0,2.29,2.67,3.2,1.91,4.77,2.03,1.19,0.88,0.53,1.1,0.61,0.86,0.7,0.86,0.75,0.78
f_0,2.24,4.32,2.96,2.22,2.78,2.5,1.14,0.88,0.93,0.72,0.96,0.59,0.81,0.73,0.87,0.55
h_0,2.45,3.39,2.53,2.62,2.68,2.32,1.78,1.0,1.06,1.43,0.94,1.02,1.02,0.87,0.93,0.8
a_0,3.11,2.97,2.74,2.5,3.31,5.01,1.36,1.12,1.11,1.06,0.7,1.07,0.87,0.58,0.78,0.88
e_0,3.65,3.39,2.92,3.0,2.71,2.9,1.25,1.08,1.11,1.18,1.19,0.67,0.87,1.21,0.58,0.7
g_0,3.07,3.46,2.99,3.07,2.83,2.68,1.08,1.1,1.07,1.59,0.94,1.09,0.72,1.02,1.08,0.99
