,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.66,0.73,1.08,1.24,1.11,0.93,0.49,0.48,0.52,0.4,0.41,0.49,0.32,0.36,0.34,0.53
f_1,1.18,0.65,0.99,1.12,1.05,0.85,0.39,0.39,0.5,0.36,0.41,0.41,0.26,0.33,0.36,0.33
d_1,1.12,1.14,0.64,1.18,1.04,1.05,0.47,0.57,0.37,0.45,0.39,0.4,0.3,0.37,0.23,0.35
c_1,0.99,1.13,1.34,0.63,1.26,1.0,0.56,0.26,0.5,0.48,0.39,0.4,0.32,0.36,0.31,0.32
b_1,1.26,1.32,1.35,0.73,0.61,1.3,0.59,0.42,0.54,0.62,0.63,0.43,0.36,0.4,0.36,0.43
a_1,1.37,1.68,1.49,1.24,0.78,0.57,0.59,0.58,0.69,0.51,0.55,0.53,0.49,0.72,0.41,0.4
h_1,1.76,2.01,1.73,1.65,1.52,1.59,0.55,0.7,0.88,0.58,0.64,0.63,0.67,0.57,0.6,0.63
d_0,1.31,1.85,2.59,2.13,1.98,1.63,0.87,0.58,0.88,0.68,0.65,0.68,0.57,0.67,0.6,0.69
g_1,2.04,2.0,1.85,2.03,1.96,1.56,0.7,0.78,0.52,0.68,0.73,0.73,0.47,0.63,0.63,0.61
c_0,1.97,2.12,1.23,2.75,1.76,2.04,0.95,1.05,0.76,0.56,0.87,0.79,0.64,0.67,0.65,0.75
b_0,1.9,1.94,1.83,2.36,2.4,1.98,0.87,0.77,0.85,0.47,0.55,0.69,0.58,0.7,0.59,0.63
f_0,1.9,2.78,2.04,2.02,1.85,1.74,0.88,0.79,0.64,0.69,0.73,0.54,0.53,0.61,0.43,0.8
h_0,2.22,2.4,2.18,2.31,2.15,1.8,1.16,0.81,1.04,0.76,0.76,0.81,0.77,0.62,0.67,0.71
a_0,2.56,2.6,2.11,2.36,2.79,2.43,1.1,0.81,1.04,0.77,0.57,0.88,0.8,0.54,0.72,0.82
g_0,2.24,2.61,2.51,2.39,2.69,2.1,0.78,0.9,1.21,0.77,0.8,0.87,0.6,0.79,0.68,0.98
e_0,2.76,2.99,2.44,2.5,2.04,2.11,1.01,0.83,0.92,0.77,0.77,0.52,0.7,0.79,0.52,0.52
