,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.95,0.51,0.78,0.53,0.44,0.36,0.35,0.28,0.34,0.34,0.29,0.22,0.3,0.24,0.25,0.17
d_1,0.64,0.95,0.55,0.41,0.48,0.38,0.41,0.31,0.51,0.29,0.35,0.32,0.3,0.26,0.3,0.23
e_1,0.58,0.53,0.95,0.61,0.47,0.37,0.38,0.36,0.34,0.52,0.32,0.33,0.35,0.22,0.28,0.19
c_1,0.59,0.62,0.5,0.95,0.8,0.39,0.37,0.32,0.25,0.27,0.21,0.28,0.29,0.21,0.29,0.24
b_1,0.62,0.6,0.57,0.47,0.94,0.72,0.41,0.33,0.32,0.32,0.25,0.31,0.31,0.19,0.27,0.26
a_1,0.75,0.71,0.67,0.59,0.45,0.94,0.47,0.42,0.37,0.37,0.41,0.33,0.38,0.22,0.33,0.24
h_1,1.08,0.82,0.85,0.77,0.69,0.56,0.79,0.54,0.53,0.43,0.42,0.43,0.38,0.35,0.48,0.33
g_1,0.9,1.2,0.73,0.78,0.79,0.52,0.58,0.77,0.59,0.43,0.5,0.61,0.5,0.36,0.38,0.44
c_0,1.01,0.91,0.82,0.85,0.66,0.62,0.63,0.55,0.72,0.54,0.83,0.51,0.53,0.49,0.43,0.4
d_0,0.91,0.63,0.74,1.43,0.86,0.66,0.62,0.61,0.44,0.69,0.49,0.49,0.51,0.37,0.47,0.41
b_0,0.98,1.03,0.9,1.04,0.58,0.5,0.72,0.54,0.52,0.61,0.71,0.54,0.58,0.75,0.5,0.39
f_0,0.97,1.02,0.87,0.95,0.76,0.72,0.7,0.51,0.56,0.58,0.49,0.69,0.56,0.41,0.46,0.73
h_0,1.18,1.12,0.92,0.98,0.88,0.66,0.59,0.67,0.61,0.6,0.57,0.49,0.48,0.46,0.63,0.41
a_0,1.07,1.01,1.02,1.05,0.91,0.57,0.75,0.63,0.58,0.64,0.49,0.61,0.66,0.67,0.53,0.51
g_0,1.1,1.3,0.95,0.92,0.97,0.69,0.65,0.56,0.73,0.61,0.54,0.73,0.5,0.49,0.47,0.49
e_0,1.13,1.21,0.94,0.99,0.96,0.75,0.8,0.55,0.61,0.57,0.6,0.45,0.58,0.45,0.52,0.66
