,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.19,0.41,0.19,0.23,0.2,0.12,0.37,0.5,0.44,0.36,0.5,0.08,0.59,0.39,0.33,0.43
e_1,0.27,2.25,0.19,0.2,0.23,0.2,0.38,0.83,0.42,0.29,0.55,0.38,0.7,0.33,0.12,0.52
d_1,0.26,0.25,2.43,0.17,0.22,0.13,0.33,0.13,0.92,0.32,0.48,0.55,0.63,0.46,0.34,0.57
c_1,0.24,0.22,0.23,2.42,0.39,0.15,0.34,0.42,0.08,0.37,0.37,0.4,0.52,0.42,0.4,0.48
b_1,0.21,0.24,0.16,0.24,2.5,0.3,0.51,0.53,0.4,0.33,0.13,0.49,0.64,0.22,0.3,0.55
a_1,0.23,0.24,0.28,0.22,0.16,3.05,0.42,0.49,0.43,0.39,0.35,0.49,0.61,,0.48,0.45
h_1,0.59,0.28,0.35,0.44,0.3,0.32,2.84,0.67,0.82,0.76,0.64,0.68,0.3,0.87,0.66,1.21
d_0,0.46,0.36,0.15,0.74,0.35,0.29,0.89,2.23,0.73,0.62,0.85,0.69,1.1,0.72,0.6,0.71
c_0,0.53,0.44,0.36,0.18,0.28,0.33,0.77,0.71,2.36,0.66,1.68,0.94,0.99,0.9,0.77,0.96
g_1,0.33,0.38,0.71,0.38,0.3,0.22,0.56,0.69,0.69,3.21,0.75,1.25,0.88,0.47,0.59,0.25
b_0,0.55,0.33,0.55,0.48,0.08,0.28,0.84,0.95,0.91,0.62,2.34,0.56,1.0,1.37,0.67,0.76
f_0,0.19,0.28,0.5,0.42,0.41,0.29,1.01,0.88,1.2,0.77,0.79,2.73,1.0,0.73,1.4,1.13
h_0,0.67,0.33,0.43,0.36,0.34,0.36,0.17,0.77,0.73,0.78,0.78,0.72,0.27,0.45,0.64,1.03
a_0,0.48,0.41,0.45,0.5,0.32,,0.94,0.94,1.06,0.66,0.99,0.64,1.1,2.77,0.6,0.56
e_0,0.46,0.17,0.46,0.44,0.39,0.36,1.19,1.01,1.0,0.65,0.93,0.6,0.87,0.71,2.89,1.31
g_0,0.4,0.24,0.66,0.37,0.26,0.38,0.81,0.59,0.95,,1.11,1.2,0.95,0.58,0.75,0.5
