,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.15,1.01,1.13,1.58,2.52,15.64,19.35,33.15,33.63,34.41,45.63,56.8,62.3,75.38,93.28
f_1,0.88,1.0,1.3,1.25,1.38,2.71,15.09,23.2,20.82,28.14,33.77,31.55,51.21,61.77,63.49,103.94
e_1,0.99,0.77,1.0,1.47,1.58,2.29,18.81,23.71,23.51,29.28,44.98,48.89,64.59,69.43,81.26,108.55
c_1,0.89,0.8,0.68,1.0,1.87,1.84,13.29,20.03,15.87,19.52,18.48,35.36,46.72,52.11,52.22,81.18
b_1,0.63,0.73,0.63,0.53,1.0,2.86,11.8,14.63,16.53,18.68,18.58,25.63,39.65,41.02,45.32,64.56
a_1,0.4,0.37,0.44,0.54,0.35,1.0,7.98,9.57,9.14,15.02,15.33,16.21,29.96,33.17,34.65,41.01
h_1,0.06,0.07,0.05,0.07,0.08,0.13,1.0,1.56,1.32,1.65,1.54,2.47,2.99,3.68,4.19,7.03
g_1,0.05,0.04,0.04,0.05,0.07,0.1,0.62,1.0,1.06,1.17,1.23,2.33,2.37,2.75,3.0,4.19
c_0,0.03,0.05,0.04,0.06,0.06,0.11,0.76,0.88,1.0,1.87,1.5,2.03,2.74,3.26,3.2,4.54
b_0,0.03,0.04,0.03,0.05,0.05,0.07,0.6,0.85,0.56,1.0,1.15,1.45,2.13,2.57,2.4,3.29
d_0,0.03,0.03,0.02,0.06,0.06,0.07,0.63,0.8,0.63,0.85,1.0,1.38,1.89,2.01,2.5,3.39
f_0,0.02,0.03,0.02,0.03,0.04,0.06,0.41,0.44,0.51,0.69,0.71,1.0,1.46,1.32,2.68,1.96
h_0,0.02,0.02,0.02,0.02,0.02,0.03,0.33,0.44,0.35,0.48,0.52,0.71,1.0,0.98,1.25,2.06
a_0,0.02,0.02,0.01,0.02,0.02,0.03,0.28,0.37,0.32,0.38,0.47,0.79,1.0,1.0,1.03,1.91
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.22,0.31,0.32,0.42,0.38,0.39,0.82,0.99,1.0,1.45
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.14,0.24,0.23,0.3,0.28,0.51,0.5,0.53,0.7,1.0
