,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.47,2.32,1.61,1.73,1.48,1.43,2.9,3.6,3.25,3.37,2.94,3.49,3.45,4.32,2.95,4.53
e_1,1.55,2.46,1.44,2.16,1.74,1.59,3.31,5.63,3.41,3.38,3.78,3.77,3.84,4.69,3.65,4.48
d_1,1.84,1.79,2.58,1.38,1.49,1.75,3.36,3.14,2.92,5.5,3.87,4.1,3.97,4.6,3.93,4.33
c_1,1.6,1.37,1.81,2.63,2.54,1.82,2.96,3.24,3.17,2.7,3.74,2.87,3.69,4.34,3.87,4.61
b_1,1.77,1.53,1.69,1.39,2.75,2.91,3.11,3.24,3.16,3.31,3.74,2.84,3.32,4.63,3.82,4.7
a_1,1.89,1.8,1.77,1.67,1.35,3.35,3.55,3.83,3.48,3.91,3.82,4.44,3.9,4.85,3.62,4.44
h_1,2.01,1.71,1.85,1.75,1.69,1.55,4.25,3.46,4.02,3.59,3.81,3.61,3.65,4.25,3.81,5.7
d_0,1.72,1.37,1.62,2.61,2.0,1.57,3.4,4.42,3.34,2.96,3.39,3.8,3.85,4.91,4.02,4.85
g_1,1.64,1.6,2.38,1.66,1.59,1.57,3.09,3.42,4.83,3.68,4.72,3.82,4.07,4.57,4.41,4.66
c_0,1.96,1.73,1.7,1.55,1.53,1.56,3.72,3.63,3.63,4.58,3.99,5.65,5.05,5.16,4.25,5.09
f_0,1.52,1.57,1.85,1.9,1.83,1.8,3.59,3.92,3.41,3.73,4.79,4.19,4.62,4.69,6.82,4.32
b_0,1.77,1.78,1.81,1.84,1.72,1.24,3.59,3.65,3.3,3.51,3.87,4.9,6.9,5.11,4.09,4.73
a_0,1.85,1.69,1.8,1.71,1.79,1.45,3.69,3.84,3.25,3.9,3.8,3.44,5.37,5.42,4.44,5.16
h_0,2.12,1.7,1.85,1.83,1.63,1.62,3.02,3.37,3.73,3.54,3.48,3.78,3.56,4.15,3.92,5.53
e_0,1.8,1.24,1.77,2.05,1.93,1.81,3.39,3.48,3.56,3.62,3.5,3.93,4.13,5.26,5.46,4.61
g_0,1.65,1.6,2.27,1.75,1.53,1.71,3.29,3.47,2.77,3.74,5.64,3.99,4.09,4.42,4.85,4.42
