,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.06,1.26,2.24,2.3,2.06,1.67,0.89,0.82,0.85,0.68,0.73,0.63,0.5,0.6,0.78,0.5
f_1,2.38,1.06,1.76,1.97,1.86,1.57,0.62,0.77,0.64,0.5,0.78,0.54,0.37,0.46,0.41,0.49
d_1,2.3,2.67,1.06,2.19,2.34,2.01,0.79,0.56,1.1,0.77,0.57,0.65,0.52,0.5,0.61,0.34
c_1,1.97,2.51,2.56,1.06,2.55,1.82,1.05,0.85,0.44,0.85,0.64,0.6,0.5,0.64,0.53,0.48
b_1,2.44,2.98,2.48,1.5,1.06,2.69,0.99,1.1,0.72,0.91,0.75,1.01,0.6,0.65,0.67,0.52
a_1,3.61,4.05,2.92,3.81,1.89,1.07,1.28,1.19,1.11,0.9,1.06,1.15,1.04,1.76,0.73,0.86
h_1,5.2,6.01,5.45,4.59,4.79,4.8,1.3,2.29,1.72,1.44,1.49,1.39,1.29,1.22,1.3,1.1
g_1,5.82,6.49,7.32,6.48,5.36,5.78,1.8,1.32,1.93,1.71,1.94,1.99,1.2,1.66,1.51,1.42
d_0,3.87,6.35,8.92,8.23,6.29,5.67,2.8,2.92,1.46,1.65,2.0,1.85,1.55,1.66,1.75,1.65
c_0,7.06,8.6,4.06,9.3,6.3,6.1,2.78,2.77,3.17,1.5,2.05,3.07,1.66,1.86,1.91,1.63
f_0,6.84,8.89,7.86,7.87,5.98,5.9,2.71,1.84,2.33,2.1,1.46,2.1,1.6,1.69,2.61,1.11
b_0,7.56,7.96,6.31,9.54,8.48,5.55,2.91,2.6,2.22,1.16,2.31,1.52,1.68,2.66,2.18,1.78
h_0,9.12,9.59,8.95,8.75,8.21,5.97,4.42,3.32,2.94,2.6,2.24,2.49,2.52,1.91,2.23,1.96
a_0,9.74,9.75,10.46,10.82,10.56,7.86,3.79,3.22,3.53,2.72,3.12,1.66,2.44,1.59,2.71,2.37
e_0,12.4,16.54,9.13,11.58,9.24,9.69,3.7,3.45,2.9,2.44,1.58,2.55,1.94,2.27,1.57,1.92
g_0,10.33,11.7,11.93,11.02,10.68,9.56,3.67,4.62,3.41,2.79,3.29,2.59,1.94,2.35,2.67,2.54
