,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,37.66,0.08,0.07,0.06,0.05,0.07,0.36,,0.6,0.19,0.48,0.46,0.5,0.38,0.4,0.53
f_1,0.06,37.66,0.12,0.07,0.07,0.08,0.39,0.38,0.4,0.21,0.28,,0.7,0.21,0.24,0.6
e_1,0.06,0.08,40.34,0.06,0.07,0.05,0.27,0.69,0.33,0.26,0.28,0.29,0.64,0.32,,0.52
c_1,0.06,0.05,0.07,42.44,0.13,,0.32,0.41,,0.33,0.28,0.41,0.6,0.45,0.4,0.72
b_1,0.07,0.06,0.07,0.07,49.57,0.12,0.39,0.45,0.27,0.29,,0.43,0.52,0.28,0.41,0.34
a_1,0.07,0.1,0.06,0.07,0.05,68.89,0.19,0.36,0.39,0.29,0.37,0.43,0.55,,,0.56
h_1,0.28,0.42,0.22,0.3,0.26,0.34,27.71,1.65,1.42,1.25,1.08,1.12,,1.4,1.32,2.03
d_0,,0.31,0.36,0.63,0.34,0.55,1.34,17.04,1.72,1.09,2.57,1.83,3.26,1.88,1.5,3.13
c_0,0.35,0.29,0.42,,0.35,0.37,1.65,1.83,17.84,1.28,3.94,1.95,2.47,2.21,1.64,2.41
g_1,0.42,0.23,0.15,0.27,0.27,0.28,0.98,1.25,1.34,34.82,1.42,2.04,2.75,,1.36,
b_0,0.3,0.27,0.23,0.42,,0.28,1.59,1.68,2.31,1.55,20.52,2.18,3.57,2.78,2.7,3.05
f_0,0.38,,0.31,0.4,0.39,,1.18,1.98,2.25,1.34,2.02,21.28,3.58,2.31,4.28,2.76
h_0,0.47,0.62,0.55,0.45,0.45,0.55,,3.06,2.86,4.43,3.0,2.38,,3.29,2.69,6.92
a_0,0.38,0.31,0.33,0.29,0.28,,1.8,1.52,2.34,1.48,2.25,1.37,3.15,31.43,,3.64
e_0,0.31,0.38,,0.31,0.41,0.32,1.0,2.32,3.02,1.46,,2.6,3.34,2.0,31.0,2.8
g_0,1.06,0.5,0.42,0.42,0.52,0.61,1.69,2.4,2.1,,2.71,5.0,3.8,3.06,4.1,
