,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.12,6.39,5.13,5.98,4.87,4.51,1.25,0.84,0.92,2.35,0.98,0.84,0.73,0.51,0.92,0.79
e_1,5.26,1.13,2.78,6.05,5.35,4.82,2.27,2.09,1.1,1.24,1.3,1.11,0.84,0.83,1.25,3.04
f_1,5.26,5.28,1.13,5.11,4.92,5.36,1.15,1.61,0.98,0.96,1.07,2.3,0.55,0.79,1.01,1.18
c_1,7.44,4.66,5.72,1.12,5.81,5.61,1.89,1.98,2.83,0.65,1.04,1.06,0.79,1.04,0.97,1.25
b_1,6.36,6.56,8.84,3.57,1.14,6.8,1.66,1.8,2.0,1.75,3.46,1.59,1.03,1.16,1.34,1.15
a_1,10.49,8.75,10.7,11.09,4.87,1.14,3.62,2.96,2.19,2.41,3.04,2.43,1.85,1.35,10.85,2.22
h_1,16.7,16.45,16.98,16.7,20.96,18.68,1.77,5.68,3.43,3.31,3.82,3.68,4.57,2.67,3.81,3.78
g_1,21.22,21.61,25.53,20.95,25.76,22.37,4.34,1.81,4.53,4.97,4.39,4.46,2.26,5.31,4.53,4.1
c_0,11.2,20.38,26.93,56.25,27.0,19.43,5.79,7.43,2.31,6.5,4.7,4.27,3.63,3.14,5.11,4.2
d_0,35.03,12.24,24.8,23.23,26.74,22.64,6.57,11.86,5.01,2.36,4.29,4.5,3.57,3.44,5.42,4.85
b_0,18.99,20.61,24.8,45.8,46.03,24.35,7.81,7.43,2.55,5.75,2.31,4.81,3.28,3.31,6.88,4.47
f_0,24.54,25.99,49.24,37.28,31.2,26.72,8.54,6.32,6.73,6.5,6.51,2.53,4.72,2.51,6.07,6.25
h_0,28.86,34.83,37.47,31.74,33.43,30.06,17.62,10.9,5.95,6.69,6.8,6.33,8.28,5.16,5.34,6.04
g_0,31.93,40.76,49.24,40.58,40.11,48.1,7.74,19.88,7.57,8.2,8.34,7.81,4.3,8.4,8.73,9.05
a_0,38.8,39.86,44.77,39.1,63.82,71.26,10.48,9.26,7.01,8.52,3.63,7.25,8.13,5.01,2.61,7.48
e_0,41.47,68.98,49.96,34.85,43.88,40.94,10.62,10.24,8.02,8.86,8.84,4.9,5.35,5.31,8.95,2.63
