,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.05,0.72,0.62,0.93,0.59,0.58,0.99,0.81,0.8,2.12,0.91,0.95,1.04,0.94,0.6,1.03
f_1,1.65,12.41,0.55,0.65,0.57,0.63,0.75,0.74,0.66,0.89,0.9,0.48,0.93,0.87,0.57,0.77
d_1,0.6,0.67,15.04,0.43,0.63,0.71,1.03,2.47,0.99,0.57,1.12,1.03,1.04,1.08,1.26,1.05
c_1,0.61,0.55,0.63,15.41,1.62,0.64,0.83,0.45,0.96,0.82,0.79,0.98,0.84,0.72,0.85,0.92
b_1,0.49,0.69,0.67,0.71,16.1,1.7,0.92,0.71,0.86,0.78,0.48,0.87,0.95,0.64,0.94,0.9
a_1,0.61,0.65,0.71,0.7,0.59,21.06,1.02,0.94,1.17,0.7,1.02,1.26,1.2,0.69,1.28,1.03
h_1,0.55,1.31,0.86,0.65,0.69,0.61,3.85,1.06,1.48,0.98,1.16,1.18,0.66,1.12,1.27,1.58
c_0,0.7,0.83,0.88,0.51,0.59,0.69,1.4,2.7,1.3,1.22,3.39,1.38,1.28,1.65,1.31,1.35
g_1,0.55,0.65,1.6,0.55,0.83,0.73,0.92,1.17,4.65,0.83,1.15,1.79,0.85,1.25,1.18,0.65
d_0,0.65,0.75,0.46,2.15,0.77,0.6,0.94,0.74,1.04,1.98,1.09,1.05,1.21,1.13,1.03,1.21
b_0,0.73,0.94,0.94,0.79,0.54,0.41,1.1,1.08,1.0,0.98,2.66,1.2,1.01,3.49,1.27,1.17
f_0,0.42,0.49,0.93,0.92,0.85,0.78,1.24,1.26,1.25,1.22,1.28,3.02,1.18,1.52,3.31,1.14
h_0,0.75,1.18,0.86,0.76,0.75,0.61,0.61,0.9,1.48,1.05,1.28,0.87,0.74,1.09,1.14,1.45
a_0,0.69,0.86,0.95,1.04,0.66,0.31,1.22,1.22,1.18,1.18,0.96,1.23,1.38,3.63,1.15,1.1
e_0,0.42,1.16,0.66,0.79,0.68,0.89,1.23,1.37,1.22,1.19,1.38,1.32,1.47,1.31,3.78,1.39
g_0,0.55,0.6,1.67,0.93,0.68,0.64,1.0,1.14,0.82,0.97,1.34,2.07,1.03,1.19,1.22,0.82
