,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.43,3.49,3.74,3.24,3.12,3.72,1.55,1.46,1.65,1.53,1.65,,1.26,1.82,1.84,1.39
e_1,2.24,0.43,2.96,3.17,3.75,3.45,1.85,1.9,2.66,1.62,1.37,2.14,1.73,,1.86,1.36
c_1,3.02,4.58,0.4,4.5,4.93,4.2,1.92,0.96,1.87,,1.85,1.52,1.44,1.13,1.31,1.37
d_1,3.24,5.56,3.27,0.38,3.11,3.07,1.8,,1.42,1.78,2.11,1.3,1.31,1.82,1.7,0.88
b_1,4.03,4.02,2.19,4.44,0.37,5.19,1.56,2.04,1.65,1.9,,1.56,1.16,1.5,1.35,1.2
a_1,3.2,3.92,2.96,4.5,2.02,0.31,1.98,2.03,1.98,,1.55,1.99,1.57,1.37,,
h_1,1.71,1.81,1.87,1.7,2.31,1.72,0.27,0.8,1.02,0.96,0.73,0.78,,0.63,0.72,0.69
d_0,1.8,1.04,1.83,,1.56,1.5,0.92,0.3,0.9,0.96,0.63,0.53,0.58,0.87,0.58,0.64
g_1,2.18,1.71,1.87,2.01,1.78,1.98,0.85,0.9,0.23,0.86,0.81,0.78,0.57,0.72,0.77,
c_0,1.61,1.72,,0.97,1.81,,0.69,0.71,0.8,0.28,0.82,0.96,0.48,0.62,0.68,0.61
b_0,1.84,1.56,1.94,1.41,,1.64,0.9,0.79,0.81,0.38,0.26,0.67,0.56,0.85,1.07,0.7
f_0,,1.45,1.78,2.1,1.45,1.36,0.9,0.86,0.69,0.56,0.73,0.25,0.56,1.04,,0.37
h_0,1.46,1.14,1.26,1.07,1.2,0.95,,0.52,0.76,0.56,0.63,0.72,,0.62,,0.7
e_0,2.48,,1.99,1.52,1.5,1.46,0.83,0.62,0.81,0.75,0.73,0.44,0.46,0.22,,0.46
a_0,1.46,1.24,1.96,1.82,2.21,,1.01,0.65,0.82,0.72,0.42,,,,0.21,
g_0,2.32,1.42,1.18,1.41,1.25,,0.62,0.55,,0.58,0.54,0.65,0.33,0.61,,
