,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.8,4.4,2.71,3.02,2.6,2.56,9.39,10.29,12.35,11.27,11.76,9.73,18.7,13.07,17.06,9.17
e_1,2.79,6.03,2.4,3.65,3.09,3.11,10.76,9.89,21.94,12.53,13.72,14.3,19.11,12.64,20.29,12.65
d_1,2.93,2.44,6.66,2.55,2.72,2.81,11.66,11.66,9.85,22.46,16.79,13.79,21.39,17.43,20.73,15.83
c_1,3.0,2.68,2.45,7.0,4.91,3.33,9.7,10.26,11.73,9.5,9.38,13.34,19.39,14.9,18.26,15.85
b_1,3.02,2.66,2.64,2.79,7.99,5.68,9.93,9.67,13.06,10.75,8.46,13.42,21.99,10.01,22.93,13.71
a_1,3.16,2.67,3.1,2.69,3.11,10.69,11.3,10.98,12.51,14.96,14.36,14.95,22.37,9.83,19.91,14.7
h_1,3.97,3.02,3.38,3.06,2.63,2.54,18.7,14.18,13.66,13.52,14.36,13.02,16.1,15.95,27.0,17.41
g_1,2.89,2.55,4.29,2.94,3.04,3.05,11.35,22.14,11.61,14.17,14.26,18.5,19.85,16.13,17.91,17.38
d_0,2.99,2.85,2.27,5.31,3.08,3.1,10.82,9.35,19.57,9.97,15.18,13.73,19.8,15.78,19.39,17.36
c_0,3.42,2.73,3.59,2.65,2.11,2.83,12.81,12.96,13.07,22.24,26.32,14.9,24.89,20.09,25.07,21.09
b_0,3.38,2.8,3.51,3.57,2.12,2.5,12.53,12.56,13.62,15.86,22.76,14.94,23.22,30.84,22.23,20.35
f_0,2.65,2.46,3.5,3.22,3.56,3.11,12.8,12.03,14.16,16.07,16.37,25.68,23.66,18.73,26.09,35.87
h_0,3.73,2.9,3.33,3.02,3.14,2.84,9.38,13.76,11.75,13.68,14.27,14.07,16.85,16.79,28.08,14.48
a_0,3.9,2.78,3.25,3.2,2.86,2.1,13.84,11.58,12.88,14.32,14.45,15.25,23.76,29.23,25.02,21.57
g_0,2.77,2.53,4.38,2.99,2.99,2.94,9.73,9.42,13.38,15.83,16.08,23.99,24.59,16.62,21.18,21.13
e_0,3.82,2.88,3.08,3.36,3.05,2.49,11.9,12.27,13.82,15.28,15.01,13.76,24.47,21.57,25.05,33.84
