,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.93,0.08,0.09,0.11,0.08,0.08,0.07,0.06,0.07,0.1,0.07,0.06,0.06,0.04,,0.04
d_1,0.11,0.93,0.1,0.09,0.09,0.09,0.07,0.05,0.11,,0.06,0.05,0.07,0.04,0.05,0.04
f_1,0.17,0.11,0.93,0.08,0.09,0.06,0.07,0.07,0.07,0.07,,0.06,0.05,0.05,0.04,0.05
c_1,0.08,0.11,0.13,0.93,0.19,0.07,0.07,0.05,,0.06,0.07,0.03,0.06,0.05,0.05,0.06
b_1,0.13,0.09,0.1,0.07,0.93,0.13,0.09,0.06,0.06,0.07,0.06,,0.08,0.05,,0.06
a_1,0.11,0.11,0.12,0.12,0.09,0.93,0.07,0.08,0.07,0.09,,0.08,0.06,,0.06,0.07
h_1,0.28,0.26,0.31,0.33,0.24,0.2,0.71,0.18,0.18,0.15,0.16,0.17,,0.11,0.08,0.21
g_1,0.3,0.48,0.27,0.21,0.31,0.17,0.22,0.71,0.18,0.19,0.22,0.19,0.1,0.12,0.12,
c_0,0.35,0.34,0.35,,0.3,0.23,0.28,0.22,0.59,0.24,0.19,0.29,0.13,0.18,0.17,0.18
d_0,0.38,,0.36,0.61,0.34,0.21,0.3,0.14,0.15,0.58,0.22,0.21,0.21,0.14,0.12,0.15
f_0,0.33,0.41,,0.32,0.34,,0.26,0.25,0.25,0.2,0.58,0.19,0.24,,0.33,0.16
b_0,0.32,0.46,0.4,0.43,,0.19,0.24,0.22,0.23,0.19,0.19,0.57,0.29,0.34,0.12,0.15
h_0,0.43,0.35,0.69,0.43,0.44,0.26,,0.48,0.41,0.31,0.22,0.18,,0.2,0.21,0.32
a_0,0.44,0.46,0.39,0.34,0.28,,0.34,0.21,0.22,0.24,,0.16,0.29,0.58,,0.26
e_0,,0.37,0.47,0.32,,0.38,0.36,0.28,0.22,0.34,0.17,0.24,0.25,,0.58,0.2
g_0,0.51,0.81,0.42,0.47,0.4,0.31,0.29,,0.27,0.31,0.37,0.39,0.24,0.2,0.22,
