,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.95,0.33,0.38,0.43,0.44,0.38,0.72,0.62,1.56,0.75,0.79,0.86,0.85,0.7,0.21,0.95
d_1,0.39,4.1,0.4,0.34,0.39,0.33,0.92,0.77,0.21,1.49,0.95,0.81,0.7,0.76,0.87,0.88
f_1,0.63,0.34,4.06,0.43,0.39,0.38,0.6,0.62,0.71,0.8,0.77,0.26,0.91,0.98,0.74,0.89
c_1,0.43,0.38,0.47,4.37,0.71,0.26,0.71,0.72,0.79,0.15,0.59,0.54,0.92,0.99,0.71,0.74
b_1,0.38,0.43,0.4,0.36,4.68,0.79,0.82,0.83,0.81,0.82,0.14,0.66,0.87,0.53,0.73,0.74
a_1,0.36,0.48,0.29,0.4,0.34,6.74,0.69,0.79,0.79,0.88,0.89,1.09,0.98,0.16,0.77,1.14
h_1,0.64,0.54,0.99,0.69,0.48,0.83,5.28,1.54,1.34,1.36,1.47,1.51,0.6,1.3,1.37,1.8
g_1,0.57,1.11,0.61,0.71,0.6,0.49,1.34,5.52,1.03,1.29,1.34,2.24,1.48,1.38,1.59,0.37
d_0,0.63,0.22,0.79,1.38,0.6,0.63,1.21,1.39,3.78,1.19,1.66,1.56,1.88,1.43,1.87,1.34
c_0,0.87,0.82,0.81,0.25,0.55,0.65,1.23,1.43,1.17,3.61,3.0,1.66,1.57,1.64,1.88,1.4
b_0,0.63,0.79,0.87,0.83,0.25,0.66,1.18,1.48,1.35,1.44,4.32,1.76,1.37,2.71,1.53,1.45
f_0,0.67,0.99,0.3,0.66,0.54,0.87,1.57,1.18,1.52,1.34,1.46,4.74,2.03,1.64,3.74,1.74
h_0,0.46,0.98,0.98,0.7,0.7,0.46,0.55,1.51,1.35,1.18,1.22,1.44,0.64,1.32,1.59,2.14
a_0,0.63,0.55,0.66,0.94,0.87,0.22,1.43,1.59,1.4,1.07,2.2,2.07,1.6,5.44,1.84,1.65
e_0,0.18,0.89,0.91,0.82,0.62,0.49,1.65,1.37,1.67,1.51,1.79,1.49,2.18,2.01,6.48,1.93
g_0,0.6,1.05,0.66,0.81,0.55,0.64,1.22,0.51,1.21,1.57,1.63,2.39,1.71,1.58,1.13,0.74
