,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.51,0.72,0.42,0.42,0.45,0.36,0.58,0.53,0.64,0.5,0.26,0.51,0.54,0.34,0.45,0.42
e_1,0.45,1.51,0.54,0.43,0.39,0.39,0.52,0.44,0.88,0.53,0.61,0.53,0.59,0.25,0.46,0.55
c_1,0.51,0.43,1.53,0.46,0.7,0.28,0.57,0.53,0.48,0.28,0.54,0.34,0.69,0.55,0.42,0.65
d_1,0.55,0.47,0.43,1.54,0.47,0.26,0.56,0.45,0.33,0.97,0.51,0.5,0.67,0.43,0.37,0.53
b_1,0.48,0.5,0.47,0.42,1.59,0.71,0.6,0.46,0.57,0.57,0.52,0.25,0.56,0.47,0.45,0.5
a_1,0.54,0.56,0.58,0.57,0.35,1.77,0.55,0.56,0.57,0.45,0.65,0.71,0.63,0.69,0.24,0.47
h_1,0.89,0.74,0.77,0.73,0.64,0.61,1.67,0.98,0.82,0.8,0.94,0.78,0.5,0.81,0.58,1.03
g_1,0.73,0.66,0.66,1.11,0.66,0.56,0.69,1.78,0.87,0.83,1.31,0.95,0.7,0.63,0.8,0.6
d_0,0.74,0.7,1.22,0.39,0.7,0.71,0.92,0.78,1.44,0.78,0.94,0.88,0.92,0.77,0.97,0.93
c_0,1.0,0.81,0.57,0.72,0.53,0.64,0.87,0.85,1.03,1.52,1.03,1.55,1.14,0.78,0.91,1.12
f_0,0.44,0.69,0.89,0.93,0.78,0.63,0.75,0.63,1.02,0.89,1.57,1.07,1.07,1.26,0.64,0.77
b_0,0.83,0.83,0.98,0.97,0.35,0.48,0.87,0.85,0.98,0.7,0.74,1.6,1.17,0.63,1.54,0.9
h_0,0.98,0.71,0.8,0.85,0.76,0.56,0.62,1.14,1.0,0.84,0.89,0.86,0.77,0.88,0.94,1.22
e_0,1.11,0.41,0.78,0.92,0.77,0.49,0.88,1.04,0.87,1.13,0.85,1.33,1.0,1.69,1.04,1.03
a_0,0.87,0.8,0.98,1.07,0.66,0.4,1.06,0.81,0.76,0.97,0.9,0.83,1.08,0.72,1.69,1.02
g_0,0.88,0.8,0.71,1.15,0.78,0.65,0.77,0.43,0.86,0.77,1.26,0.98,0.91,1.0,0.7,0.62
