,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.35,1.1,0.93,0.95,0.93,0.92,1.02,0.89,1.03,0.97,,0.9,0.81,1.15,1.06
e_1,0.74,1.0,1.04,0.8,1.08,0.71,1.2,0.89,1.41,1.05,0.94,1.3,1.06,0.9,,1.02
d_1,0.91,0.96,1.0,1.18,1.22,1.17,0.93,0.73,,1.41,0.94,1.0,0.9,0.94,1.0,0.91
c_1,1.08,1.25,0.85,1.0,1.52,0.78,1.09,0.96,0.59,,0.94,0.98,0.97,1.1,1.0,0.96
b_1,1.05,0.92,0.82,0.66,1.0,,1.22,0.95,1.09,1.32,,0.97,1.05,1.0,1.1,0.95
a_1,1.08,1.41,0.85,1.28,,1.0,1.17,1.06,0.82,1.06,1.18,0.91,1.06,,,
h_1,1.09,0.83,1.08,0.92,0.82,0.85,1.0,1.33,1.12,1.03,0.93,0.96,,0.83,1.0,1.22
g_1,0.98,1.12,1.37,1.04,1.06,0.94,0.75,1.0,0.85,0.86,1.19,1.33,0.87,0.87,1.0,
d_0,1.12,0.71,,1.69,0.92,1.22,0.89,1.18,1.0,0.95,0.89,0.81,0.97,0.94,1.08,1.02
c_0,0.97,0.95,0.71,,0.76,0.94,0.97,1.16,1.05,1.0,1.49,1.09,1.15,1.03,0.71,1.16
b_0,1.03,1.06,1.06,1.07,,0.85,1.08,0.84,1.13,0.67,1.0,0.96,1.11,1.33,1.03,1.06
f_0,,0.77,1.0,1.02,1.03,1.1,1.04,0.75,1.23,0.92,1.05,1.0,1.0,1.2,1.39,0.81
h_0,1.11,0.95,1.11,1.03,0.95,0.95,,1.14,1.03,0.87,0.9,1.0,,1.05,0.77,1.14
a_0,1.24,1.11,1.07,0.91,1.0,,1.2,1.14,1.07,0.97,0.75,0.83,0.95,1.0,1.12,0.85
e_0,0.87,,1.0,1.0,0.91,,1.0,1.0,0.92,1.41,0.97,0.72,1.29,0.89,1.0,1.06
g_0,0.94,0.98,1.1,1.05,1.05,,0.82,,0.98,0.86,0.94,1.23,0.88,1.18,0.94,
