,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,23.01,0.31,0.32,0.41,0.35,0.33,0.73,1.46,0.95,0.67,0.82,0.81,0.74,0.79,0.84,0.14
f_1,0.61,23.45,0.34,0.34,0.29,0.32,0.82,0.82,0.68,0.75,0.64,0.17,0.82,0.68,0.84,0.48
d_1,0.29,0.37,24.56,0.26,0.32,0.35,0.62,0.26,1.57,0.92,0.94,0.89,0.98,1.04,0.99,0.89
c_1,0.32,0.32,0.28,28.85,0.68,0.47,0.69,0.87,0.11,0.51,0.51,0.93,0.76,0.7,0.92,0.96
b_1,0.4,0.4,0.24,0.47,34.25,0.61,0.55,0.66,0.59,0.46,0.11,0.85,0.92,0.65,0.65,0.88
a_1,0.34,0.26,0.43,0.28,0.44,53.38,0.84,0.81,0.61,0.54,0.91,0.68,1.01,0.12,0.74,0.8
h_1,0.58,1.0,0.7,0.59,0.47,0.48,9.2,1.01,1.4,1.84,1.62,1.58,0.49,1.17,2.22,1.8
d_0,0.56,0.67,0.2,1.57,0.64,0.65,1.4,4.75,1.52,1.42,1.88,1.46,1.94,1.4,1.53,1.59
c_0,0.65,0.71,0.79,0.25,0.57,0.51,1.52,1.5,5.22,1.61,4.09,1.74,2.06,2.26,1.7,1.85
g_1,0.58,0.59,1.19,0.6,0.46,0.48,1.14,1.29,1.5,11.81,1.29,2.0,1.55,1.53,0.69,1.57
b_0,0.44,0.96,0.77,0.7,0.14,0.46,1.8,1.49,1.77,1.63,6.18,1.83,2.2,3.38,1.43,1.73
f_0,0.48,0.24,0.88,0.69,0.69,0.86,1.67,1.66,1.74,1.86,1.71,7.28,1.95,1.47,1.97,4.04
h_0,0.56,0.92,0.65,0.65,0.76,0.69,0.43,1.21,1.53,1.74,1.49,1.15,0.61,1.35,2.38,1.33
a_0,0.59,0.78,1.05,0.52,0.53,,1.27,1.64,1.81,1.31,2.36,1.97,1.68,8.74,1.42,2.04
g_0,0.44,0.66,1.05,0.59,0.67,0.64,1.28,1.26,1.14,0.61,1.9,2.81,1.63,0.79,,2.05
e_0,0.24,0.62,1.07,0.57,0.91,0.87,2.83,1.58,0.99,1.46,1.66,1.0,1.36,1.46,1.58,8.64
