,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,1.37,0.96,1.65,1.47,1.15,0.72,0.61,0.7,0.56,0.51,0.57,0.43,0.51,0.87,0.5
d_1,1.82,0.65,1.47,1.36,1.31,1.24,0.6,0.9,0.45,0.53,0.48,0.5,0.36,0.44,0.45,0.31
f_1,1.63,1.32,0.65,1.36,1.3,1.24,0.5,0.52,0.73,0.46,0.53,0.81,0.38,0.48,0.42,0.38
c_1,1.15,1.68,1.53,0.64,1.96,1.16,0.68,0.35,0.6,0.79,0.44,0.51,0.37,0.44,0.53,0.48
b_1,1.56,1.65,1.59,0.9,0.62,1.97,0.72,0.66,0.79,0.66,0.94,0.59,0.6,0.51,0.6,0.44
a_1,2.15,1.91,2.02,2.02,0.91,0.57,0.84,0.67,0.82,0.8,0.86,0.61,0.52,1.25,0.59,0.53
h_1,1.9,2.16,2.67,2.06,2.01,1.97,0.58,0.73,1.02,0.81,0.75,0.66,0.83,0.68,0.63,0.62
d_0,1.49,3.0,2.32,2.69,2.49,2.49,1.23,0.63,1.09,0.75,0.83,0.81,0.75,0.84,0.68,0.74
g_1,2.43,2.46,2.28,2.51,2.07,2.03,0.91,0.87,0.55,0.8,0.84,0.85,0.52,0.68,0.7,0.83
c_0,2.33,1.54,2.84,3.99,2.18,1.89,1.25,1.27,1.11,0.61,1.12,0.84,0.84,0.8,0.8,0.63
b_0,2.5,2.25,2.46,3.32,3.89,2.27,1.04,0.87,1.1,0.56,0.61,0.76,0.85,1.03,0.74,0.69
f_0,2.35,2.29,3.8,2.76,2.45,2.41,1.32,1.12,0.71,0.89,0.88,0.59,0.71,0.88,1.11,0.58
h_0,2.72,2.66,2.72,3.27,2.52,2.5,1.77,0.97,1.55,0.85,0.82,0.99,1.05,0.79,0.76,0.85
a_0,2.47,3.1,2.67,3.11,4.13,3.51,1.34,1.09,1.56,0.96,0.58,0.99,0.89,0.6,0.86,0.79
e_0,3.1,2.95,3.91,3.03,3.04,2.8,1.42,1.21,1.29,1.01,1.02,0.56,0.95,0.95,0.55,0.84
g_0,2.83,2.92,3.26,2.8,3.11,2.71,1.15,1.17,1.73,1.21,1.17,1.18,0.67,1.11,0.85,1.13
