,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.67,6.8,5.04,6.15,5.01,5.85,2.62,1.71,,2.36,1.87,1.89,1.72,2.37,1.16,1.7
f_1,5.67,0.67,6.68,7.39,5.39,4.69,2.05,2.55,2.09,2.37,2.06,,1.18,1.75,1.73,1.86
e_1,7.42,3.76,0.67,5.75,5.19,5.28,2.55,2.54,2.47,2.85,2.4,2.26,1.57,1.71,1.27,
c_1,7.35,5.2,6.71,0.64,6.93,5.83,2.55,2.44,1.55,,1.87,2.65,2.18,1.67,1.87,2.78
b_1,6.68,7.02,6.92,4.16,0.63,,2.66,2.38,2.21,2.14,,2.08,1.6,,1.77,2.29
a_1,5.43,7.47,6.6,8.16,,0.57,4.22,,2.98,2.51,3.06,2.62,2.07,,2.19,
h_1,5.05,5.6,5.63,4.43,5.7,3.77,0.61,2.67,1.57,1.81,1.62,1.61,,1.75,1.77,1.43
g_1,5.98,5.9,5.48,4.53,5.99,,1.61,0.59,2.47,2.37,1.75,1.98,1.41,,,
d_0,,5.32,3.19,4.83,4.88,3.97,2.17,2.12,0.72,1.46,1.75,1.66,1.42,1.41,1.61,1.86
c_0,3.06,4.87,4.57,,5.39,4.71,2.22,1.88,2.02,0.73,2.11,1.61,1.21,1.74,1.26,1.96
b_0,5.75,5.26,4.79,6.93,,5.44,2.82,2.17,1.75,1.17,0.67,1.49,1.68,1.73,1.63,1.19
f_0,5.68,,4.82,4.51,4.77,4.77,2.67,1.98,1.9,1.88,2.91,0.67,1.53,1.9,0.91,2.0
h_0,4.21,4.56,5.67,4.51,5.0,4.65,,2.02,1.57,1.63,1.46,1.77,,1.38,1.4,1.19
a_0,5.2,5.82,7.29,6.51,,,2.39,,2.5,1.95,1.68,2.03,1.78,0.63,2.19,
g_0,5.35,4.44,6.15,4.79,4.76,4.81,1.58,,1.72,2.02,1.8,2.47,1.25,1.62,,
e_0,6.34,9.31,,4.68,5.69,,3.43,,1.79,1.68,2.85,1.24,2.13,,,0.59
