,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,0.9,0.85,0.89,0.68,0.44,0.46,0.45,0.36,0.38,0.38,0.32,0.27,0.33,0.29
e_1,0.8,1.0,1.17,0.95,0.87,0.72,0.49,0.46,0.58,0.41,0.48,0.4,0.37,0.41,0.35,0.34
c_1,1.11,0.85,1.0,1.09,1.21,0.58,0.51,0.48,0.33,0.35,0.39,0.33,0.38,0.35,0.31,0.37
d_1,1.18,1.07,0.92,1.0,0.96,0.64,0.5,0.36,0.52,0.58,0.4,0.36,0.38,0.33,0.29,0.29
b_1,1.13,1.15,0.84,1.03,1.0,1.32,0.6,0.47,0.47,0.55,0.43,0.46,0.38,0.37,0.37,0.33
a_1,1.46,1.41,1.76,1.57,0.76,1.0,0.67,0.66,0.56,0.5,0.62,0.75,0.57,0.55,0.46,0.42
h_1,2.33,2.0,1.83,1.94,1.61,1.41,1.0,1.14,0.89,0.84,0.85,0.78,0.71,0.7,0.59,0.77
g_1,2.2,2.11,2.16,2.91,2.16,1.49,0.87,1.0,0.89,0.95,1.23,0.84,0.63,0.66,0.74,0.68
d_0,2.26,1.74,3.1,1.82,2.32,1.7,1.1,1.06,1.0,0.78,0.95,0.88,0.81,0.72,0.82,0.79
c_0,2.65,2.39,2.99,1.74,1.79,1.93,1.15,1.08,1.15,1.0,0.97,1.33,0.93,0.76,0.89,0.84
f_0,2.65,2.0,2.63,2.47,2.41,1.58,1.2,0.8,1.07,1.0,1.0,1.01,0.92,1.01,0.82,0.59
b_0,2.73,2.47,2.89,2.66,2.12,1.37,1.32,1.24,1.09,0.74,0.96,1.0,1.03,0.75,1.23,0.79
h_0,3.26,2.79,2.73,2.66,2.51,1.82,1.4,1.6,1.15,1.08,1.07,0.95,1.0,0.86,0.92,0.93
e_0,3.81,2.56,2.88,3.01,2.64,2.07,1.34,1.43,1.3,1.28,0.91,1.4,1.15,1.0,1.1,0.85
a_0,2.97,2.8,3.32,3.42,2.71,2.17,1.75,1.3,1.18,1.18,1.25,0.83,1.07,0.85,1.0,1.06
g_0,3.05,2.93,2.83,3.37,2.99,2.38,1.31,1.48,1.29,1.24,1.72,1.31,1.03,1.11,1.0,1.0
