,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.94,0.66,0.4,0.38,0.3,0.24,0.26,0.23,0.25,0.23,0.14,0.25,0.19,0.18,0.15,0.18
e_1,0.41,0.94,0.4,0.42,0.4,0.23,0.26,0.28,0.44,0.27,0.28,0.26,0.25,0.2,0.14,0.2
d_1,0.5,0.44,0.95,0.35,0.31,0.25,0.28,0.25,0.18,0.41,0.25,0.24,0.25,0.19,0.22,0.18
c_1,0.46,0.42,0.47,0.94,0.59,0.23,0.27,0.26,0.22,0.09,0.26,0.18,0.21,0.19,0.19,0.18
b_1,0.51,0.46,0.48,0.37,0.93,0.5,0.36,0.27,0.33,0.22,0.23,0.15,0.26,0.13,0.19,0.18
a_1,0.63,0.51,0.56,0.47,0.35,0.94,0.36,0.29,0.24,0.33,0.29,0.28,0.31,0.12,0.21,0.21
h_1,0.9,0.63,0.73,0.64,0.49,0.46,0.75,0.49,0.42,0.32,0.32,0.35,0.25,0.28,0.27,0.36
g_1,0.75,0.66,0.92,0.66,0.52,0.45,0.44,0.74,0.38,0.4,0.51,0.36,0.29,0.35,0.32,0.19
d_0,0.73,0.65,0.49,1.15,0.58,0.54,0.48,0.49,0.66,0.32,0.47,0.34,0.38,0.35,0.24,0.32
c_0,0.88,0.72,0.73,0.65,0.55,0.39,0.55,0.42,0.48,0.65,0.4,0.71,0.44,0.42,0.36,0.33
f_0,0.61,0.62,0.89,0.82,0.67,0.46,0.55,0.4,0.44,0.5,0.65,0.34,0.44,0.3,0.58,0.36
b_0,0.83,0.64,0.84,0.92,0.45,0.39,0.51,0.47,0.53,0.39,0.47,0.67,0.47,0.63,0.32,0.37
h_0,1.21,0.85,0.83,0.75,0.56,0.44,0.45,0.72,0.49,0.45,0.41,0.46,0.33,0.35,0.29,0.48
a_0,0.88,0.73,1.1,0.8,0.8,0.29,0.55,0.46,0.49,0.43,0.48,0.35,0.48,0.62,0.42,0.44
e_0,0.99,0.6,0.79,0.77,0.74,0.61,0.69,0.42,0.68,0.48,0.42,0.5,0.56,0.37,0.62,0.3
g_0,0.79,0.8,1.2,0.86,0.77,0.55,0.53,0.51,0.46,0.59,0.66,0.5,0.41,0.38,0.47,0.3
