,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.76,0.73,0.44,0.75,0.53,0.61,0.88,0.88,1.77,0.81,1.14,1.06,1.11,0.88,0.52,1.01
f_1,1.16,2.87,0.55,0.5,0.56,0.49,0.86,0.76,0.96,1.03,0.89,0.27,0.86,1.0,0.61,0.78
d_1,0.53,0.73,3.05,0.5,0.66,0.57,0.87,0.88,0.36,1.72,1.13,0.9,1.08,0.98,1.16,0.96
c_1,0.47,0.56,0.74,3.02,1.14,0.48,0.95,0.85,0.8,0.25,0.67,0.96,0.85,0.94,0.9,0.95
b_1,0.55,0.55,0.7,0.54,3.43,1.3,0.82,0.92,0.81,0.95,0.36,0.99,0.84,0.73,0.77,0.85
a_1,0.63,0.65,0.62,0.82,0.46,4.86,0.98,0.86,0.84,0.7,0.75,1.04,1.01,0.33,0.89,0.87
h_1,0.7,1.0,0.75,0.8,0.82,0.55,3.27,1.41,0.95,1.05,1.22,0.94,0.6,1.09,1.28,1.37
g_1,0.56,0.58,1.24,0.75,0.66,0.63,0.86,3.59,0.84,1.28,0.98,2.09,1.13,1.1,1.42,0.9
d_0,0.79,0.75,0.38,1.62,0.52,0.59,1.12,1.06,2.1,0.87,1.37,1.15,1.19,1.16,1.3,1.31
c_0,0.82,0.77,0.89,0.55,0.57,0.62,1.23,1.1,1.22,2.5,2.11,1.27,1.43,1.33,1.58,1.58
b_0,0.75,0.8,0.93,0.83,0.23,0.46,1.2,1.18,1.21,1.19,2.86,1.42,1.37,2.54,1.4,1.57
f_0,0.74,0.44,0.94,0.78,0.74,0.63,1.04,1.19,1.0,1.06,1.32,2.63,1.31,1.25,3.11,1.46
h_0,0.69,1.17,0.69,0.74,0.65,0.7,0.75,1.57,0.94,1.11,1.24,1.24,0.83,1.4,1.34,1.66
a_0,0.83,0.76,0.83,0.88,0.8,0.38,1.24,1.2,1.13,1.04,1.2,1.28,1.26,3.44,1.23,1.37
e_0,0.33,0.8,0.85,1.01,0.67,0.81,1.36,1.02,1.31,1.31,1.69,1.21,1.2,1.3,3.85,1.3
g_0,0.7,0.67,1.26,0.7,0.62,0.84,1.12,0.8,0.99,1.16,1.37,1.89,1.4,1.23,1.19,0.46
