,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.49,0.7,0.64,0.96,0.67,0.61,0.87,1.46,0.8,0.73,0.8,0.79,0.91,0.66,0.73,0.89
f_1,1.14,1.51,0.67,0.69,0.72,0.51,0.71,0.81,0.7,0.78,0.87,0.46,0.82,0.52,0.73,0.69
d_1,0.8,0.83,1.56,0.65,0.65,0.51,0.86,0.69,0.74,1.37,0.94,0.9,0.94,0.84,0.71,0.73
c_1,0.63,0.83,0.76,1.57,1.17,0.6,0.86,0.62,0.82,0.47,0.75,0.81,0.9,0.62,0.63,0.8
b_1,0.83,0.74,0.76,0.61,1.6,1.09,0.88,0.9,0.81,0.78,0.58,0.92,1.14,0.68,0.62,0.88
a_1,0.76,1.02,0.92,0.79,0.59,1.77,1.05,1.01,0.83,1.18,0.98,0.93,1.01,0.84,0.49,1.04
h_1,1.01,1.34,0.96,0.96,0.93,0.7,1.75,1.11,1.29,1.06,1.05,0.88,0.98,0.95,0.9,1.26
d_0,0.92,1.01,0.76,1.77,0.93,0.8,1.12,1.65,1.02,0.98,1.03,1.25,1.17,0.92,0.99,1.23
g_1,1.04,0.91,1.55,0.81,0.88,0.84,0.98,1.06,1.84,1.22,1.08,1.63,1.15,1.06,1.07,0.88
c_0,1.24,1.14,1.05,0.82,0.89,0.65,1.25,1.09,1.09,1.69,1.91,1.14,1.28,1.15,1.11,1.08
b_0,1.34,1.06,1.08,1.0,0.57,0.71,1.22,1.33,1.15,1.1,1.72,1.22,1.45,1.13,1.98,1.09
f_0,1.06,1.09,1.12,1.0,0.95,0.84,1.52,1.24,1.07,1.37,1.25,1.73,1.35,1.75,0.8,1.18
h_0,1.13,1.4,1.21,1.08,0.76,0.8,0.92,1.3,1.4,1.23,1.23,1.25,0.96,1.08,0.95,1.6
e_0,0.83,1.55,1.04,1.19,0.91,0.83,1.42,1.34,1.12,1.44,1.3,1.23,1.42,1.85,0.94,1.35
a_0,1.18,1.25,1.24,1.13,0.95,0.58,1.26,1.26,1.32,1.22,1.05,1.39,1.5,1.42,1.81,1.21
g_0,1.01,1.1,1.55,1.22,1.06,0.77,1.2,1.07,1.07,1.32,1.23,1.77,1.14,1.09,1.02,1.04
