,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.13,2.75,5.68,7.21,5.68,5.73,1.49,2.03,1.14,1.09,1.35,1.06,0.71,2.71,1.06,1.23
f_1,5.27,1.13,4.38,5.46,5.18,5.31,1.19,2.16,1.2,1.06,2.86,1.11,0.59,1.13,0.81,0.94
d_1,6.35,5.73,1.12,6.31,5.09,5.28,1.51,0.96,3.62,0.91,1.04,1.15,0.84,1.16,0.55,1.05
c_1,4.84,6.78,7.42,1.12,5.62,5.76,1.59,1.38,0.58,1.97,0.95,1.09,0.76,0.94,0.8,0.95
b_1,5.67,6.64,6.91,3.67,1.13,6.34,2.14,1.99,1.35,1.71,1.24,2.89,1.18,1.41,1.14,1.98
a_1,10.76,12.94,10.0,8.48,5.02,1.15,2.55,3.56,2.11,2.29,1.96,2.0,1.63,1.74,1.21,3.06
h_1,17.8,17.51,16.57,17.78,20.99,15.39,1.82,5.1,3.94,3.52,3.91,3.99,5.07,3.05,2.45,3.22
g_1,23.23,25.87,19.59,21.87,22.76,18.33,4.9,1.8,4.23,3.82,4.73,4.41,2.2,4.03,4.36,3.34
d_0,13.33,29.7,43.82,21.73,23.29,22.91,8.0,7.11,2.41,4.74,5.1,5.26,3.49,5.09,4.07,5.23
c_0,23.54,25.49,13.11,65.18,27.35,20.36,6.22,8.09,6.4,2.44,5.48,4.93,3.8,5.23,3.66,4.63
f_0,21.65,55.08,23.45,23.24,34.26,19.38,7.77,4.22,4.77,4.11,2.27,4.72,3.74,5.45,2.12,5.16
b_0,24.52,25.87,19.94,35.74,64.8,27.24,7.7,6.58,7.37,2.63,5.58,2.4,4.1,6.14,3.98,4.51
h_0,32.17,31.62,38.72,33.92,29.51,38.04,16.83,8.59,6.47,6.31,8.49,6.29,7.61,6.34,5.66,5.73
e_0,61.53,55.98,35.81,35.74,35.07,40.32,11.71,8.91,9.19,7.37,3.6,6.92,5.92,2.35,4.96,5.23
g_0,40.31,52.54,32.33,46.17,45.86,36.0,7.77,19.56,9.19,8.05,8.03,7.2,4.44,9.67,8.23,8.2
a_0,40.78,41.14,37.0,41.04,59.62,57.6,12.43,12.57,8.57,6.73,7.92,4.08,6.17,8.6,7.39,2.73
