,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,4.08,4.63,3.85,4.41,5.06,0.85,0.78,1.35,0.71,0.75,3.88,0.43,0.83,0.9,0.78
e_1,2.36,0.44,5.01,5.06,4.81,5.68,1.31,0.85,1.42,0.87,0.76,0.99,0.75,0.86,3.94,0.82
d_1,5.36,5.83,0.42,3.9,4.89,3.94,1.16,0.8,0.69,5.43,0.83,0.87,0.62,0.94,1.03,0.35
c_1,4.35,4.29,6.19,0.42,4.46,3.97,1.43,2.8,1.42,0.49,0.95,0.79,0.77,0.81,0.77,0.6
b_1,4.81,5.02,4.9,2.66,0.41,6.06,1.16,1.09,1.77,1.03,3.55,0.8,0.71,1.17,0.84,0.77
a_1,5.75,7.07,5.68,8.72,2.91,0.33,1.54,1.5,1.83,1.12,1.74,1.19,0.88,7.07,1.78,0.88
h_1,5.26,4.5,4.26,7.0,4.75,3.98,0.36,1.04,1.54,1.32,1.71,1.16,1.76,1.05,0.84,0.59
c_0,7.39,4.94,2.66,23.55,6.38,3.84,1.91,0.43,1.56,1.21,1.23,1.2,0.74,1.14,1.22,0.84
g_1,5.93,5.51,5.57,6.39,5.49,4.89,1.57,1.66,0.31,1.43,1.02,1.22,0.66,1.41,1.05,2.85
d_0,7.15,2.97,10.85,6.57,6.71,5.47,1.94,1.17,2.04,0.45,1.07,1.0,0.67,0.99,1.04,0.86
b_0,6.61,5.1,4.58,7.34,15.22,5.63,1.88,0.66,2.18,1.34,0.42,1.41,0.83,1.25,1.16,1.39
f_0,21.9,5.74,4.61,4.79,5.49,7.45,2.03,1.31,1.12,1.72,1.35,0.39,1.09,1.2,1.47,0.53
h_0,7.01,5.67,7.0,8.1,6.72,5.41,5.77,1.78,1.98,1.62,1.48,1.51,2.29,1.8,1.64,1.39
a_0,8.0,6.56,6.5,6.72,9.9,,2.18,1.34,1.93,1.33,0.63,1.36,1.01,0.34,1.22,1.09
e_0,8.68,21.6,5.76,7.25,6.83,8.04,2.43,1.39,2.2,2.1,1.28,0.64,1.09,1.27,0.32,1.29
g_0,9.9,7.87,7.08,7.69,6.71,6.77,1.64,1.89,,1.51,1.44,1.66,0.81,1.59,1.11,2.33
