,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.29,0.19,0.22,0.24,0.23,0.17,0.39,0.33,0.93,0.46,0.45,0.46,0.54,0.33,0.09,0.54
d_1,0.23,2.34,0.23,0.19,0.21,0.15,0.5,0.41,0.13,0.9,0.54,0.44,0.45,0.36,0.39,0.49
f_1,0.37,0.19,2.32,0.24,0.21,0.17,0.33,0.33,0.42,0.49,0.44,0.14,0.58,0.47,0.33,0.5
c_1,0.25,0.21,0.27,2.41,0.38,0.12,0.38,0.38,0.47,0.09,0.34,0.29,0.58,0.47,0.32,0.41
b_1,0.22,0.24,0.23,0.2,2.49,0.35,0.44,0.44,0.48,0.5,0.08,0.36,0.55,0.25,0.32,0.41
a_1,0.21,0.27,0.16,0.22,0.18,2.99,0.37,0.42,0.47,0.53,0.51,0.59,0.62,0.08,0.34,0.64
h_1,0.37,0.31,0.57,0.38,0.26,0.37,2.86,0.81,0.8,0.83,0.84,0.81,0.38,0.62,0.61,1.01
g_1,0.33,0.63,0.35,0.39,0.32,0.22,0.73,2.92,0.62,0.78,0.76,1.2,0.94,0.66,0.71,0.21
d_0,0.36,0.13,0.45,0.76,0.32,0.28,0.66,0.73,2.26,0.72,0.94,0.84,1.2,0.68,0.83,0.75
c_0,0.5,0.47,0.46,0.14,0.29,0.29,0.67,0.75,0.7,2.19,1.71,0.89,1.0,0.78,0.83,0.79
b_0,0.36,0.45,0.5,0.46,0.13,0.29,0.64,0.78,0.81,0.88,2.46,0.95,0.87,1.29,0.68,0.81
f_0,0.39,0.56,0.17,0.36,0.29,0.38,0.85,0.63,0.91,0.81,0.83,2.55,1.29,0.78,1.66,0.98
h_0,0.27,0.56,0.56,0.39,0.37,0.21,0.3,0.8,0.8,0.72,0.7,0.78,0.41,0.63,0.71,1.2
a_0,0.36,0.32,0.38,0.52,0.46,0.1,0.78,0.84,0.83,0.65,1.25,1.11,1.02,2.58,0.82,0.93
e_0,0.11,0.5,0.52,0.45,0.33,0.22,0.9,0.73,1.0,0.92,1.02,0.8,1.38,0.95,2.88,1.08
g_0,0.35,0.6,0.38,0.45,0.29,0.28,0.66,,0.72,0.95,0.93,1.29,1.08,0.75,0.5,0.42
