,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.1,1.82,3.13,3.52,3.03,3.2,0.95,0.93,0.75,0.58,0.65,0.68,0.46,0.58,0.97,0.43
f_1,2.93,1.1,2.48,3.2,3.11,2.67,0.59,0.97,0.68,0.56,0.53,0.89,0.31,0.54,0.61,0.43
d_1,3.56,3.53,1.1,3.6,3.13,2.84,0.87,0.57,1.05,0.65,0.7,0.63,0.46,0.57,0.54,0.29
c_1,2.95,3.59,4.48,1.11,3.45,3.06,0.9,1.07,0.41,0.85,0.71,0.61,0.53,0.6,0.62,0.6
b_1,4.0,3.93,4.42,1.92,1.12,3.88,1.24,1.37,0.8,1.27,1.3,0.78,0.62,0.91,0.73,0.54
a_1,5.35,8.07,5.61,5.52,2.92,1.14,1.74,1.43,1.27,1.26,1.61,1.18,0.75,2.1,1.2,0.93
h_1,10.91,13.93,10.2,13.62,11.35,9.92,1.65,3.23,2.6,2.25,2.47,2.3,2.49,2.07,2.04,1.77
g_1,16.1,15.52,11.94,14.5,13.85,11.35,3.03,1.64,3.65,2.73,2.87,2.4,1.49,2.99,1.85,2.56
d_0,7.88,13.93,20.53,14.63,15.99,15.43,4.95,5.88,1.99,3.1,2.82,3.06,2.3,2.97,3.13,2.56
c_0,17.82,17.35,8.82,26.66,15.32,12.99,4.69,3.85,4.81,2.03,3.47,3.6,2.3,2.92,3.44,2.13
b_0,16.1,18.39,13.44,25.58,27.31,15.55,5.16,4.38,4.21,1.89,1.95,2.91,2.92,3.98,3.31,2.5
f_0,18.17,28.08,18.57,21.85,20.68,14.01,5.67,3.55,3.87,3.51,3.54,2.06,2.9,4.7,3.67,1.98
h_0,20.6,22.56,20.92,24.02,20.39,20.15,7.63,7.0,4.71,4.59,4.26,4.11,3.87,4.7,3.97,3.19
a_0,23.95,28.73,22.64,27.12,29.24,38.73,8.24,8.24,6.28,4.77,2.82,5.69,3.64,2.34,5.33,3.43
e_0,38.82,39.98,25.63,25.58,26.32,25.0,8.0,7.37,5.34,5.82,6.24,2.61,3.98,5.66,2.4,3.39
g_0,27.52,29.19,28.26,33.47,26.08,28.62,5.79,10.77,6.34,6.35,6.54,5.37,3.8,6.35,5.17,5.65
