,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.68,1.35,1.88,2.02,1.89,2.17,0.97,1.03,0.97,0.65,0.81,0.76,0.82,0.68,0.62,1.88
f_1,2.29,0.67,1.84,1.95,2.14,1.86,0.77,0.74,0.92,0.75,0.59,1.31,0.68,0.43,0.66,0.45
d_1,2.82,2.28,0.65,1.83,1.84,1.94,0.89,1.69,0.62,0.93,0.72,0.73,0.72,0.59,0.42,0.67
c_1,2.19,2.17,2.66,0.64,2.56,1.78,0.99,0.46,0.99,1.35,0.78,0.69,0.68,0.65,0.53,0.64
b_1,2.87,2.36,2.58,1.46,0.6,2.87,1.09,0.72,1.26,0.76,3.5,1.0,0.89,1.0,0.72,0.89
a_1,2.32,3.14,2.54,3.29,1.52,0.57,1.32,1.0,1.23,0.9,1.24,0.93,2.4,0.71,1.05,0.9
h_1,2.68,2.59,2.55,2.75,2.3,2.15,0.61,0.94,1.32,1.04,0.94,0.97,0.81,0.99,0.75,0.95
d_0,1.5,3.4,4.49,3.65,3.69,2.73,1.68,0.68,1.38,0.88,1.01,0.97,0.86,0.77,0.84,1.0
g_1,2.85,3.0,3.36,2.71,2.58,2.62,1.06,1.06,0.56,1.21,1.05,1.31,1.19,0.66,1.88,1.06
c_0,3.04,2.73,1.85,7.12,4.11,2.49,1.43,1.39,1.33,0.66,1.31,1.23,1.06,1.09,1.01,0.99
b_0,2.37,4.16,3.25,3.36,,2.56,1.39,1.24,1.43,0.68,0.63,0.99,1.13,0.95,0.81,1.17
f_0,2.82,7.52,2.8,3.43,2.51,2.62,1.35,1.28,0.85,1.01,1.1,0.62,1.15,0.95,0.7,1.41
a_0,2.75,3.9,3.02,4.08,3.56,,1.55,1.62,1.66,1.49,0.78,1.09,0.59,1.13,0.99,1.29
h_0,2.83,4.08,3.49,3.87,3.08,2.79,2.65,1.4,2.0,1.15,1.3,1.17,1.11,1.59,1.2,1.14
g_0,3.51,3.92,3.83,4.96,3.62,2.09,1.39,1.4,,1.06,1.22,1.25,1.19,0.75,1.52,0.96
e_0,4.4,5.73,3.34,3.53,3.0,3.06,1.47,1.3,1.32,1.5,1.15,0.72,1.09,1.23,1.1,0.6
