,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.28,1.38,0.76,0.87,0.75,0.56,1.41,1.73,1.26,1.45,1.56,0.85,1.65,1.05,0.96,1.59
e_1,1.01,2.31,0.7,0.96,0.67,0.63,1.6,3.12,1.28,1.46,1.54,1.59,2.01,1.42,1.03,1.8
d_1,1.03,0.83,2.42,0.53,0.67,0.7,1.55,1.04,1.42,3.24,2.01,1.7,2.42,1.9,1.62,1.81
c_1,0.88,0.79,0.76,2.49,1.37,0.58,1.57,1.81,1.28,0.89,1.27,1.44,2.03,1.26,1.32,1.55
b_1,0.74,0.85,0.92,0.86,2.64,1.39,1.57,1.54,1.34,1.39,0.89,1.45,1.73,1.05,1.11,1.81
a_1,0.91,0.84,0.94,0.89,0.72,3.1,1.48,1.66,1.5,1.66,1.65,1.96,2.38,1.12,1.78,2.17
h_1,1.33,0.84,1.07,0.85,0.79,0.6,3.23,1.8,2.13,1.81,1.75,1.51,1.72,1.47,1.63,2.49
d_0,1.04,0.86,0.55,1.65,0.98,0.59,1.67,3.03,1.4,1.29,1.51,1.78,2.16,1.31,1.75,2.03
g_1,0.85,0.85,1.46,0.85,0.85,0.63,1.43,1.66,3.55,1.77,1.97,2.72,2.24,1.59,1.69,1.53
c_0,1.08,0.84,1.11,0.71,0.74,0.71,1.86,1.67,2.01,3.15,3.49,1.95,2.28,2.22,1.62,2.22
b_0,1.07,1.06,1.07,0.94,0.52,0.41,1.86,2.01,1.74,1.88,3.27,1.89,2.32,3.41,1.79,1.98
f_0,0.81,0.71,1.19,0.89,1.0,0.72,1.66,1.66,1.83,2.07,2.02,3.21,2.89,1.73,3.38,2.51
h_0,1.24,0.81,0.98,0.88,0.8,0.8,1.35,1.75,1.84,1.88,2.07,1.8,1.84,1.56,1.77,2.43
a_0,1.04,0.86,1.13,1.01,0.86,0.38,1.82,1.83,1.48,2.03,2.13,2.04,2.3,3.36,1.52,1.85
e_0,1.05,0.61,1.12,0.8,1.07,0.7,1.98,1.94,1.89,1.93,2.28,2.02,2.28,1.5,3.54,2.8
g_0,0.79,0.75,1.55,0.82,0.93,0.76,1.68,1.51,1.46,1.85,1.92,2.82,2.31,1.88,1.59,1.76
