,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.95,0.81,0.52,0.5,0.43,0.32,0.34,0.31,0.38,0.31,0.26,0.3,0.3,0.19,0.24,0.26
e_1,0.55,0.95,0.68,0.48,0.48,0.37,0.36,0.31,0.55,0.31,0.35,0.29,0.32,0.22,0.26,0.28
c_1,0.6,0.49,0.95,0.57,0.8,0.29,0.38,0.32,0.29,0.23,0.31,0.23,0.33,0.25,0.23,0.28
d_1,0.63,0.58,0.47,0.96,0.47,0.33,0.4,0.29,0.33,0.55,0.35,0.33,0.34,0.26,0.23,0.3
b_1,0.63,0.6,0.51,0.55,0.95,0.66,0.43,0.31,0.31,0.34,0.33,0.24,0.33,0.25,0.22,0.27
a_1,0.74,0.7,0.78,0.67,0.42,0.94,0.46,0.44,0.46,0.34,0.41,0.41,0.39,0.31,0.22,0.28
h_1,1.05,0.86,0.77,0.82,0.65,0.49,0.78,0.61,0.49,0.49,0.48,0.47,0.42,0.34,0.33,0.48
g_1,0.86,0.82,0.86,1.23,0.72,0.51,0.48,0.77,0.44,0.57,0.72,0.51,0.44,0.4,0.39,0.36
d_0,0.86,0.79,1.41,0.63,0.84,0.55,0.6,0.57,0.68,0.4,0.55,0.48,0.53,0.36,0.38,0.41
c_0,1.1,0.94,0.92,0.81,0.61,0.58,0.57,0.53,0.62,0.72,0.51,0.83,0.57,0.46,0.47,0.48
f_0,0.82,0.82,1.04,0.95,0.86,0.56,0.61,0.46,0.58,0.54,0.72,0.57,0.57,0.66,0.39,0.41
b_0,1.02,0.97,1.12,1.0,0.58,0.49,0.62,0.6,0.62,0.5,0.5,0.69,0.66,0.38,0.73,0.42
h_0,1.23,0.95,0.97,1.01,0.87,0.54,0.61,0.72,0.62,0.55,0.56,0.51,0.53,0.44,0.46,0.56
e_0,1.18,0.95,0.95,1.18,0.95,0.65,0.68,0.62,0.62,0.62,0.58,0.68,0.68,0.67,0.48,0.47
a_0,1.12,0.9,1.04,1.2,0.89,0.54,0.77,0.64,0.69,0.61,0.59,0.49,0.68,0.46,0.65,0.5
g_0,0.97,0.96,0.99,1.29,0.92,0.67,0.63,0.54,0.65,0.67,0.81,0.64,0.6,0.54,0.51,0.41
