,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.49,0.73,0.44,0.5,0.38,0.32,0.5,0.46,0.58,0.54,0.46,0.21,0.51,0.32,0.45,0.33
e_1,0.48,1.49,0.45,0.52,0.34,0.3,0.58,0.5,0.53,0.93,0.59,0.58,0.59,0.54,0.5,0.21
d_1,0.53,0.44,1.52,0.4,0.38,0.39,0.59,0.49,0.93,0.28,0.55,0.57,0.64,0.47,0.48,0.43
c_1,0.47,0.45,0.49,1.55,0.74,0.34,0.53,0.5,0.23,0.48,0.47,0.58,0.62,0.51,0.49,0.45
b_1,0.51,0.61,0.57,0.4,1.64,0.65,0.45,0.55,0.43,0.48,0.29,0.5,0.62,0.44,0.63,0.42
a_1,0.45,0.59,0.63,0.46,0.4,1.77,0.61,0.38,0.49,0.55,0.69,0.57,0.8,0.37,0.65,0.58
h_1,0.96,0.65,0.68,0.71,0.71,0.56,1.66,0.98,0.78,0.9,0.87,0.83,0.64,0.58,1.05,0.68
g_1,0.87,0.66,0.98,0.76,0.61,0.64,0.79,1.76,0.78,0.72,0.96,0.95,0.79,0.77,0.42,0.85
c_0,0.84,0.83,0.68,0.52,0.74,0.72,1.13,0.89,1.53,0.7,1.51,0.97,0.96,0.7,1.06,0.88
d_0,0.76,0.64,0.38,1.36,0.67,0.66,0.91,0.78,0.93,1.49,0.81,0.87,0.84,0.62,0.93,0.77
b_0,0.97,0.77,0.79,0.86,0.48,0.41,1.05,0.85,0.77,1.0,1.58,0.78,0.95,1.59,1.1,0.72
f_0,0.6,0.65,0.86,0.73,0.85,0.66,0.98,0.91,1.02,1.02,1.04,1.61,1.02,0.83,0.81,1.46
h_0,1.25,0.76,0.87,0.76,0.62,0.57,0.57,0.93,0.95,0.97,1.0,0.9,0.55,0.86,1.31,0.78
a_0,1.09,0.64,0.86,0.84,0.8,,1.2,0.87,0.97,1.13,0.64,0.98,1.07,1.69,1.08,1.05
g_0,0.79,0.72,1.25,0.9,0.57,0.73,0.81,0.63,0.93,0.88,0.96,1.3,0.87,0.85,0.63,0.72
e_0,1.03,0.59,0.75,0.84,0.94,0.71,0.94,0.82,0.97,1.04,1.08,0.83,1.21,0.92,1.14,1.76
