,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.14,16.53,10.91,13.7,10.44,9.43,3.01,1.77,2.11,7.54,2.19,1.85,1.58,1.1,1.9,1.68
e_1,10.64,1.14,5.81,11.74,10.97,10.18,5.05,4.63,2.34,2.5,2.93,2.2,1.9,1.8,2.69,14.33
f_1,12.23,12.04,1.15,10.58,9.89,12.18,2.54,3.56,2.18,2.02,2.36,7.69,1.2,1.58,2.37,2.84
c_1,15.03,10.28,11.68,1.14,13.12,11.38,4.18,4.22,11.68,1.37,2.06,2.49,1.76,2.39,2.27,2.8
b_1,13.26,14.12,20.28,8.31,1.15,14.36,3.2,3.54,4.11,3.86,11.17,3.09,2.0,2.47,2.89,2.49
a_1,22.41,17.33,23.45,22.11,11.14,1.15,7.96,5.63,4.9,4.93,6.58,4.76,3.66,2.71,,4.3
h_1,27.54,26.18,24.45,23.57,36.0,36.3,1.89,8.56,4.9,4.97,5.48,5.95,12.19,3.84,4.97,5.13
g_1,33.41,33.52,44.19,32.71,35.1,40.08,5.87,1.89,6.22,7.21,6.51,7.46,2.89,10.03,7.31,6.14
c_0,17.1,29.89,43.63,106.87,46.8,35.63,7.39,12.75,2.62,8.1,6.51,6.76,5.85,4.75,7.46,6.25
d_0,88.0,17.93,36.67,32.38,38.47,37.0,9.86,15.02,7.01,2.76,6.17,7.58,5.29,5.64,7.46,7.02
b_0,28.86,32.03,37.88,78.2,85.09,34.98,10.48,9.01,3.43,8.1,2.54,6.58,4.99,5.01,8.95,7.17
f_0,37.98,34.83,98.49,53.43,42.55,39.27,10.22,10.09,9.65,8.99,9.7,2.7,6.18,3.68,8.33,8.6
h_0,45.67,48.47,53.86,45.15,50.14,49.33,43.58,21.12,8.76,11.71,10.03,9.62,18.29,8.4,8.52,9.3
g_0,52.29,57.85,74.93,59.37,62.4,68.71,12.55,56.33,10.25,13.39,12.08,12.82,6.86,20.06,14.92,14.33
a_0,69.38,65.22,70.35,54.34,93.6,,16.56,16.49,8.76,12.15,5.64,9.62,12.91,9.76,2.69,10.75
e_0,66.81,199.28,76.6,47.15,66.86,66.34,15.92,16.1,11.68,14.26,14.44,7.25,6.65,7.68,12.34,2.71
