,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.89,0.37,0.15,0.17,0.13,0.09,0.16,0.16,0.12,0.14,0.05,0.13,0.14,0.07,0.06,0.11
e_1,0.21,0.89,0.22,0.14,0.12,0.11,0.14,0.32,0.14,0.17,0.18,0.16,0.21,0.06,0.1,0.11
c_1,0.22,0.16,0.89,0.17,0.29,0.1,0.14,0.14,0.1,0.04,0.13,0.11,0.17,0.07,0.09,0.16
d_1,0.2,0.19,0.14,0.89,0.13,0.1,0.16,0.07,0.15,0.34,0.2,0.16,0.16,0.12,0.09,0.14
b_1,0.23,0.17,0.17,0.16,0.88,0.22,0.14,0.18,0.12,0.12,0.14,0.06,0.18,0.09,0.1,0.14
a_1,0.22,0.18,0.22,0.19,0.12,0.87,0.13,0.2,0.11,0.13,0.14,0.13,0.19,0.11,0.05,0.12
h_1,0.36,0.22,0.24,0.19,0.16,0.11,0.56,0.19,0.22,0.2,0.13,0.18,0.1,0.09,0.1,0.21
d_0,0.28,0.23,0.39,0.1,0.18,0.14,0.22,0.43,0.13,0.17,0.22,0.16,0.2,0.1,0.1,0.18
g_1,0.25,0.21,0.19,0.33,0.16,0.12,0.19,0.17,0.55,0.17,0.27,0.18,0.17,0.13,0.12,0.08
c_0,0.24,0.29,0.14,0.24,0.15,0.11,0.21,0.22,0.21,0.41,0.19,0.35,0.2,0.14,0.14,0.15
f_0,0.14,0.19,0.25,0.27,0.2,0.15,0.21,0.23,0.15,0.23,0.43,0.18,0.2,0.27,0.11,0.19
b_0,0.27,0.27,0.26,0.2,0.08,0.12,0.22,0.2,0.2,0.2,0.19,0.45,0.22,0.12,0.24,0.19
h_0,0.36,0.22,0.23,0.21,0.17,0.15,0.16,0.21,0.21,0.18,0.16,0.19,0.15,0.12,0.12,0.2
e_0,0.21,0.16,0.27,0.19,0.21,0.14,0.26,0.27,0.18,0.22,0.19,0.21,0.26,0.38,0.18,0.2
a_0,0.32,0.18,0.27,0.24,0.17,0.07,0.22,0.23,0.14,0.19,0.19,0.2,0.22,0.12,0.39,0.2
g_0,0.16,0.23,0.23,0.34,0.2,0.13,0.23,0.13,0.11,0.19,0.28,0.18,0.2,0.14,0.1,0.11
