,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.17,14.37,13.32,13.83,14.89,13.21,3.03,,2.69,2.83,2.79,2.96,1.21,3.46,2.11,1.14
e_1,11.01,0.17,7.3,11.04,15.76,13.55,4.82,2.07,4.53,2.86,3.91,2.9,2.01,1.86,,2.42
f_1,14.89,16.01,0.16,12.55,12.44,19.44,2.14,2.78,4.65,2.31,,2.74,1.12,2.57,2.19,2.02
c_1,14.67,11.58,11.91,0.16,11.53,16.41,3.38,1.29,4.04,,1.97,2.92,1.94,3.6,,2.48
b_1,13.86,14.08,18.36,7.68,0.13,11.58,3.46,1.79,3.69,3.86,1.88,,1.92,4.08,2.72,2.16
a_1,10.13,12.42,11.66,13.94,7.24,0.1,4.86,1.88,3.99,3.7,3.22,3.67,2.36,,,1.82
h_1,3.03,3.51,2.83,4.16,2.81,3.58,0.07,0.91,1.36,0.54,0.65,0.64,,0.53,0.75,0.45
d_0,,1.42,2.78,2.73,2.76,2.01,0.84,0.09,0.74,0.51,0.55,0.45,0.31,0.51,0.38,0.45
g_1,4.22,3.4,2.91,3.56,3.69,3.49,0.62,0.93,0.05,0.93,0.51,0.61,0.43,,0.62,
c_0,1.34,2.7,2.5,,3.05,2.52,0.69,0.6,0.59,0.08,0.73,0.69,0.48,0.49,0.52,0.29
f_0,2.33,2.93,,2.48,2.9,2.19,0.89,0.6,0.39,0.59,0.07,0.55,0.37,0.41,0.57,0.23
b_0,3.6,2.54,2.48,3.46,,2.81,0.88,0.64,0.53,0.27,0.49,0.07,0.31,0.77,0.64,0.33
h_0,1.77,1.89,2.25,1.18,1.85,1.8,,0.36,0.45,0.33,0.36,0.29,,0.38,0.25,0.21
a_0,2.18,2.75,3.14,3.6,3.45,,0.6,0.56,,0.72,0.52,0.24,0.41,0.05,,0.33
e_0,3.57,,3.65,,2.17,,0.61,0.48,0.66,0.58,0.27,0.6,0.35,,0.05,0.38
g_0,2.03,2.23,2.02,1.37,1.55,1.82,0.4,0.39,,0.25,0.32,0.42,0.2,0.4,0.34,
