,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,10.64,8.73,10.85,11.97,11.57,2.12,3.39,1.89,2.05,1.85,6.86,1.04,1.71,2.48,1.58
d_1,10.39,1.13,15.18,13.49,11.56,9.3,3.03,1.96,2.03,13.26,2.54,2.07,1.75,2.69,1.92,0.88
e_1,6.19,13.03,1.14,13.31,11.86,11.64,3.62,3.55,2.69,2.23,2.04,2.9,2.04,2.07,11.88,3.16
c_1,12.12,14.82,12.87,1.15,15.2,12.54,3.1,3.99,10.62,1.36,2.89,2.28,2.02,2.94,2.22,2.16
b_1,16.52,16.03,15.8,7.15,1.15,18.0,5.35,3.94,4.13,3.48,9.88,3.68,1.8,3.45,3.06,1.92
a_1,24.56,20.48,25.37,20.05,9.84,1.15,9.19,7.59,3.78,4.3,4.69,4.62,3.48,37.36,4.58,4.58
h_1,30.02,26.05,27.16,31.1,25.05,29.91,1.88,7.67,5.87,5.66,4.85,4.54,9.71,5.14,4.37,3.25
g_1,37.46,31.35,31.32,35.03,39.2,27.38,6.87,1.87,6.97,8.65,5.86,5.08,3.67,8.74,5.76,11.52
c_0,35.03,16.4,32.49,127.0,37.05,33.52,10.76,12.61,2.56,10.74,8.28,6.35,6.13,8.39,7.76,4.7
d_0,38.21,114.29,17.47,35.44,28.47,41.36,12.58,17.22,9.56,2.72,7.93,8.33,5.18,6.74,6.67,7.0
b_0,49.78,27.9,27.37,46.89,159.12,36.68,11.86,12.17,4.55,9.16,2.71,6.27,6.05,7.9,7.45,5.58
f_0,164.48,42.69,45.14,37.17,40.37,38.88,11.52,8.02,8.16,8.42,8.28,2.67,7.06,8.56,7.04,3.76
h_0,49.78,46.01,44.56,51.66,45.85,36.68,31.46,16.42,8.47,10.38,9.71,8.19,12.26,8.93,10.86,6.74
a_0,67.55,45.42,53.48,62.2,49.18,,18.18,13.84,8.8,13.54,6.05,9.41,8.18,2.69,12.67,8.11
e_0,66.37,50.61,133.69,51.66,62.91,55.54,14.61,19.61,11.95,10.05,12.24,5.03,8.63,9.34,2.71,8.71
g_0,82.24,62.16,51.12,49.97,57.55,74.77,13.63,41.53,12.87,16.84,13.09,12.39,6.66,11.11,13.1,18.79
