,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.57,0.62,0.63,0.63,0.59,0.62,2.31,2.46,3.24,4.91,2.62,2.6,2.43,4.44,0.67,4.18
f_1,1.15,5.97,0.5,0.65,0.51,0.54,2.13,1.73,2.55,3.01,0.63,2.75,2.82,4.08,2.13,3.82
d_1,0.51,0.56,6.08,0.45,0.64,0.7,2.17,2.37,5.48,0.93,3.16,3.0,2.68,3.37,3.85,4.18
c_1,0.64,0.48,0.56,7.01,1.13,0.53,2.51,2.04,0.35,2.78,3.24,2.38,2.91,3.75,2.77,3.86
b_1,0.55,0.7,0.54,0.59,7.6,0.96,2.43,2.12,2.48,2.67,3.13,0.66,1.94,5.3,2.44,3.86
a_1,0.78,0.56,0.55,0.48,0.55,10.64,2.22,1.98,2.85,2.65,2.97,2.62,0.78,5.24,3.42,3.93
h_1,0.83,1.49,1.04,1.07,0.86,0.97,14.49,4.67,4.83,5.09,4.84,6.43,6.54,3.19,5.84,11.03
g_1,0.84,1.01,1.52,1.39,1.01,0.83,2.24,16.68,4.44,3.45,7.23,5.71,5.06,7.98,2.95,3.89
c_0,0.83,1.23,1.42,,0.78,1.02,4.1,3.8,13.47,4.25,6.15,12.59,6.14,7.09,6.75,9.94
d_0,1.04,1.31,0.31,2.03,0.93,0.67,3.84,4.49,4.85,14.28,4.86,5.72,5.77,9.41,5.01,7.04
f_0,0.81,0.36,1.5,1.33,0.87,1.06,4.12,4.06,6.01,7.14,17.17,5.87,5.12,8.34,13.88,8.81
b_0,0.88,1.17,1.2,1.34,0.24,0.9,4.29,4.06,5.61,5.51,7.01,16.5,11.83,7.92,5.49,9.23
a_0,0.99,1.53,1.26,1.12,0.78,0.32,3.79,4.0,5.0,5.32,5.22,4.82,21.46,7.93,6.44,8.61
h_0,0.86,1.74,1.15,0.9,1.0,0.99,1.36,4.93,4.91,4.37,4.44,4.99,4.59,3.32,4.04,8.58
e_0,0.27,1.42,1.09,1.16,1.45,0.9,4.01,3.71,5.77,6.04,5.36,7.24,5.39,8.54,23.89,8.1
g_0,0.87,0.89,1.97,1.02,0.78,0.84,2.8,1.23,4.53,4.04,7.63,5.8,6.08,7.18,6.6,3.61
