,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.84,0.73,0.33,0.41,0.39,0.4,0.72,0.6,0.75,0.65,0.79,0.17,0.92,0.69,0.65,0.74
e_1,0.42,3.95,0.31,0.42,0.37,0.32,0.85,0.87,0.73,1.6,0.97,0.82,1.06,0.76,0.2,0.81
d_1,0.37,0.34,4.22,0.29,0.38,0.4,0.84,1.66,0.72,0.29,0.95,1.14,0.88,0.85,1.02,0.9
c_1,0.44,0.34,0.46,4.34,0.7,0.26,0.58,0.14,0.66,0.75,0.74,1.0,0.8,0.78,0.73,0.89
b_1,0.39,0.36,0.36,0.4,4.57,0.79,0.77,0.68,0.81,0.68,0.24,0.85,0.94,0.55,0.97,0.96
a_1,0.34,0.3,0.45,0.45,0.31,6.96,1.03,1.08,0.89,0.86,0.84,0.65,1.13,0.29,0.72,0.8
h_1,0.9,0.63,0.76,0.59,0.75,0.67,5.04,1.09,1.33,1.22,1.21,1.18,0.5,1.21,1.09,1.92
c_0,0.86,0.74,0.94,0.33,0.55,0.64,1.41,3.84,0.96,1.41,2.91,1.48,1.28,1.7,1.92,1.28
g_1,0.6,0.59,1.3,0.63,0.52,0.58,1.17,1.39,6.61,1.11,1.04,2.16,1.49,1.69,1.35,0.76
d_0,0.9,0.7,0.17,1.4,0.63,0.76,1.0,1.23,1.09,3.81,1.32,1.03,1.39,1.58,1.1,1.49
b_0,0.9,0.86,0.79,0.73,0.28,0.45,0.76,1.36,1.5,1.44,4.35,1.39,1.68,3.64,1.85,1.83
f_0,0.25,0.66,0.78,0.86,0.91,0.73,1.22,1.25,1.28,1.51,1.4,4.66,1.39,1.55,3.2,1.4
h_0,1.08,0.55,0.73,0.63,0.64,0.69,0.49,1.37,1.72,1.7,1.61,1.14,0.68,1.55,1.41,2.12
a_0,0.82,0.74,0.69,0.89,0.68,,1.38,1.4,1.14,1.52,1.46,1.48,1.13,6.33,1.77,1.67
e_0,0.86,0.25,0.75,0.96,0.89,0.44,1.48,1.29,1.57,1.54,1.77,1.25,1.37,1.65,7.2,2.1
g_0,0.58,0.63,1.3,0.78,0.66,0.55,1.59,1.3,,1.32,0.9,2.34,1.08,1.47,1.41,0.73
