,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.26,0.95,0.96,0.98,0.85,0.85,1.02,0.91,0.87,0.95,0.93,0.85,1.02,1.03,0.87
e_1,0.79,1.0,0.9,1.25,1.02,0.95,1.12,1.33,1.1,0.98,1.01,1.14,1.0,0.99,1.09,1.06
d_1,1.05,1.07,1.0,0.86,0.97,1.04,1.0,1.01,0.81,1.25,1.01,1.03,1.04,0.96,0.86,0.98
c_1,1.04,0.82,1.18,1.0,1.25,1.01,0.94,0.68,1.07,0.83,0.82,0.98,1.1,0.99,0.94,0.98
b_1,1.01,0.96,1.03,0.82,1.0,1.45,1.02,0.98,1.07,1.21,1.19,0.91,0.94,0.9,1.07,1.01
a_1,1.18,1.04,0.95,0.98,0.71,1.0,1.13,1.15,1.1,1.1,1.35,1.04,1.19,1.16,0.99,1.04
h_1,1.21,0.92,0.99,1.04,1.01,0.86,1.0,0.92,1.19,0.9,0.9,0.89,1.01,0.9,1.18,0.89
d_0,0.97,0.74,1.06,1.48,1.03,0.84,1.09,1.0,1.14,0.83,0.91,1.04,1.06,0.96,1.15,1.16
g_1,1.09,0.91,1.29,0.92,0.95,0.92,0.86,0.89,1.0,1.0,0.98,1.15,0.83,0.94,0.93,0.96
c_0,1.16,1.01,0.82,1.14,0.82,0.83,1.08,1.24,0.99,1.0,1.35,0.98,1.13,1.2,1.1,1.13
b_0,1.09,0.97,0.98,1.2,0.89,0.71,1.12,1.13,1.0,0.77,1.0,1.05,1.05,1.4,1.08,0.99
f_0,1.04,0.85,0.98,1.01,1.13,0.94,1.11,1.01,0.87,0.97,0.96,1.0,1.05,0.99,0.82,1.52
h_0,1.17,0.96,0.97,0.94,1.05,0.87,0.98,0.91,1.21,0.89,0.95,0.97,1.0,0.96,1.07,0.91
a_0,1.05,0.99,1.03,1.08,1.07,0.85,1.13,1.03,1.0,0.83,0.73,0.95,1.06,1.0,1.02,1.04
g_0,0.98,0.95,1.13,1.07,0.94,0.95,0.86,0.9,1.05,0.9,0.92,1.22,0.92,0.94,1.0,1.1
e_0,1.08,0.95,1.02,0.99,1.03,0.92,1.12,0.9,1.1,0.88,0.92,0.7,1.1,1.01,0.92,1.0
