,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.96,0.87,0.93,0.87,0.86,0.95,1.04,1.0,0.93,0.93,0.8,0.96,1.0,1.14
e_1,0.79,1.0,1.11,0.98,1.01,1.11,1.09,1.5,1.1,1.11,1.0,1.24,0.99,0.98,1.44,1.05
c_1,1.04,0.9,1.0,1.08,1.39,0.92,0.94,0.67,0.89,0.76,0.88,0.87,1.04,0.92,0.81,0.94
d_1,1.14,1.02,0.93,1.0,0.89,0.98,0.96,1.02,0.9,1.23,1.12,0.88,1.08,1.05,0.78,0.85
b_1,1.08,0.99,0.73,1.12,1.0,1.39,1.17,0.96,0.92,0.98,0.95,1.0,1.08,0.85,0.86,1.1
a_1,1.14,0.9,1.11,1.02,0.73,1.0,1.22,1.08,1.16,1.13,1.17,1.33,1.06,1.13,1.14,0.97
h_1,1.14,0.93,1.05,1.05,0.9,0.83,1.0,1.03,1.18,0.91,1.05,0.89,0.93,0.91,1.13,1.14
d_0,0.97,0.66,1.51,0.96,1.03,0.98,0.98,1.0,1.31,0.87,1.02,0.99,1.18,1.04,1.09,1.0
g_1,0.97,0.94,1.1,1.13,1.09,0.84,0.86,0.81,1.0,0.87,0.97,1.22,0.88,1.03,0.94,0.98
c_0,0.98,0.94,1.2,0.78,0.97,0.92,1.05,1.15,1.12,1.0,1.58,1.09,1.28,1.12,1.05,1.05
b_0,1.09,0.99,1.15,0.87,1.08,0.85,0.99,1.02,0.98,0.62,1.0,1.0,1.05,1.7,1.08,1.05
f_0,1.06,0.84,1.14,1.07,1.01,0.75,1.13,1.03,0.79,0.92,0.97,1.0,1.19,1.25,1.69,0.71
h_0,1.29,0.98,0.89,0.95,0.93,0.92,1.06,0.88,1.15,0.8,0.99,0.87,1.0,0.91,0.99,1.2
a_0,1.02,1.05,1.07,0.97,1.11,0.94,1.09,0.97,0.93,0.91,0.6,0.86,1.08,1.0,1.03,1.11
e_0,1.01,0.86,1.28,1.2,1.15,0.82,0.93,0.86,1.1,0.98,0.99,0.56,1.04,0.97,1.01,0.86
g_0,0.85,0.98,1.06,1.24,0.95,0.94,0.86,0.97,1.04,0.99,0.94,1.39,0.84,0.89,1.15,1.0
