,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.04,0.89,0.92,0.85,0.7,0.59,0.53,0.87,0.65,0.62,0.54,0.61,0.55,0.49
e_1,0.93,1.0,0.76,1.12,0.98,0.9,0.8,0.94,0.76,0.66,0.72,0.7,0.69,0.63,0.76,0.63
f_1,0.96,1.31,1.0,0.97,0.86,0.98,0.54,0.64,0.73,0.57,0.52,0.55,0.43,0.53,0.43,0.49
c_1,1.13,0.9,1.04,1.0,1.24,0.78,0.64,0.49,0.65,0.58,0.59,0.51,0.69,0.55,0.52,0.71
b_1,1.1,1.02,1.16,0.8,1.0,1.21,0.83,0.61,0.66,0.75,0.61,0.77,0.62,0.55,0.68,0.69
a_1,1.16,1.1,1.02,1.27,0.82,1.0,1.03,0.84,0.89,0.83,0.86,0.89,0.87,0.76,0.85,0.71
h_1,1.47,1.25,1.88,1.51,1.21,0.97,1.0,0.92,1.36,0.83,0.86,0.91,0.91,0.8,0.75,0.93
d_0,1.64,1.07,1.53,2.09,1.64,1.28,1.08,1.0,0.91,0.77,0.86,0.92,0.91,0.68,0.78,0.92
g_1,1.95,1.39,1.41,1.48,1.5,1.15,0.74,1.1,1.0,0.97,1.12,0.99,0.91,1.05,0.95,0.73
c_0,1.14,1.6,1.7,1.77,1.3,1.09,1.27,1.3,1.02,1.0,1.08,1.67,1.02,0.99,1.0,1.07
f_0,1.5,1.42,1.77,1.67,1.58,1.21,1.2,1.07,0.93,0.93,1.0,1.03,1.0,0.83,1.24,0.67
b_0,1.51,1.44,1.87,2.02,1.2,1.06,1.1,1.18,1.0,0.65,1.0,1.0,1.0,1.41,0.93,0.8
h_0,1.81,1.45,2.25,1.51,1.56,1.24,1.09,1.07,1.1,0.95,0.99,0.97,1.0,0.84,0.88,0.99
a_0,1.7,1.62,1.88,1.71,1.68,1.41,1.31,1.32,0.89,1.11,1.19,0.73,1.21,1.0,1.02,1.0
e_0,1.88,1.5,2.28,1.9,1.45,1.21,1.37,1.28,1.01,1.06,0.78,1.08,1.08,0.98,1.0,1.08
g_0,2.13,1.59,1.92,1.47,1.38,1.41,1.1,1.05,1.33,1.01,1.49,1.24,1.02,1.01,0.95,1.0
