,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.37,1.16,1.16,1.49,1.18,1.11,2.51,2.35,4.41,2.71,2.82,3.01,3.17,2.75,3.91,2.44
f_1,1.84,2.41,1.11,1.17,1.08,1.21,1.98,2.24,2.44,2.32,2.87,1.53,2.93,2.55,2.8,2.34
d_1,1.23,1.37,2.57,1.1,1.06,1.25,2.48,2.16,1.98,4.14,2.85,2.77,3.63,2.78,2.97,2.71
c_1,1.09,1.17,1.23,2.58,2.18,1.01,2.38,2.35,2.37,1.69,1.83,2.72,3.23,2.57,3.02,2.87
b_1,1.16,1.39,1.36,0.92,2.8,2.09,2.24,2.36,2.13,2.86,1.8,2.62,3.43,2.49,2.83,2.77
a_1,1.19,1.2,1.38,1.32,1.04,3.38,2.65,2.33,2.65,2.87,2.93,3.09,3.66,1.76,3.45,2.93
h_1,1.2,1.77,1.31,1.39,1.35,1.05,4.07,3.21,2.95,2.64,3.13,2.64,3.06,3.24,4.5,2.87
g_1,1.22,1.22,1.92,1.32,1.31,1.38,2.59,4.43,2.45,2.2,2.92,3.99,3.43,3.0,3.19,3.44
d_0,1.08,1.4,0.93,2.29,1.57,1.22,2.55,2.43,3.94,2.44,2.83,2.67,4.27,3.09,3.86,2.94
c_0,1.43,1.61,1.17,1.26,1.05,1.34,2.7,2.96,3.33,4.14,5.44,2.66,4.28,3.09,4.19,3.54
b_0,1.36,1.35,1.46,1.81,0.88,0.91,2.96,2.84,2.9,2.47,4.42,2.92,3.47,5.28,3.75,3.16
f_0,1.15,1.04,1.4,1.56,1.31,1.39,2.92,2.72,3.0,3.1,3.3,4.54,4.28,3.26,3.99,5.58
h_0,1.4,1.79,1.41,1.38,1.26,1.2,1.97,3.24,2.45,2.51,3.16,2.71,2.62,2.82,5.11,2.89
a_0,1.26,1.44,1.57,1.64,1.16,0.86,2.66,2.64,3.17,3.02,2.82,2.99,4.21,5.12,3.8,2.85
g_0,1.22,1.53,1.9,1.34,1.18,1.33,2.24,2.22,2.29,2.66,3.46,3.88,3.34,3.22,3.41,3.27
e_0,0.91,1.55,1.53,1.49,1.54,1.37,2.91,2.59,3.19,3.02,3.41,2.64,4.11,3.62,3.73,5.39
