,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,0.71,0.6,0.68,0.63,0.64,0.31,0.45,0.27,0.3,0.29,0.31,0.31,0.22,0.24,0.27
e_1,0.46,0.4,0.7,0.8,0.68,0.7,0.37,0.4,0.31,0.39,0.32,0.36,0.32,0.27,0.41,0.29
d_1,0.77,0.7,0.4,0.66,0.63,0.59,0.33,0.26,0.35,0.36,0.33,0.28,0.27,0.23,0.3,0.19
c_1,0.68,0.55,0.71,0.38,0.82,0.6,0.35,0.36,0.36,0.2,0.27,0.3,0.28,0.25,0.29,0.26
b_1,0.72,0.72,0.72,0.43,0.36,0.74,0.39,0.39,0.37,0.31,0.37,0.32,0.28,0.25,0.3,0.24
a_1,0.74,0.69,0.69,0.66,0.42,0.3,0.37,0.34,0.3,0.33,0.42,0.33,0.44,0.29,0.38,0.29
h_1,0.67,0.6,0.65,0.59,0.59,0.58,0.25,0.35,0.27,0.28,0.27,0.29,0.28,0.28,0.25,0.27
g_1,0.64,0.58,0.7,0.62,0.6,0.61,0.28,0.22,0.32,0.29,0.3,0.3,0.25,0.21,0.29,0.3
c_0,0.72,0.64,0.42,0.87,0.61,0.61,0.4,0.3,0.23,0.39,0.37,0.3,0.31,0.24,0.29,0.27
d_0,0.59,0.39,0.89,0.79,0.7,0.64,0.36,0.36,0.26,0.23,0.27,0.3,0.27,0.25,0.31,0.26
b_0,0.62,0.6,0.54,0.78,0.77,0.6,0.35,0.33,0.18,0.32,0.22,0.27,0.32,0.27,0.31,0.24
f_0,0.88,0.6,0.64,0.56,0.62,0.6,0.33,0.24,0.27,0.29,0.3,0.21,0.29,0.24,0.33,0.17
a_0,0.64,0.61,0.62,0.67,0.74,0.68,0.32,0.34,0.25,0.3,0.18,0.29,0.2,0.26,0.29,0.23
h_0,0.67,0.61,0.65,0.61,0.63,0.56,0.34,0.33,0.28,0.27,0.25,0.27,0.24,0.3,0.24,0.25
e_0,0.82,0.74,0.59,0.63,0.63,0.48,0.35,0.27,0.27,0.28,0.25,0.17,0.27,0.25,0.18,0.2
g_0,0.62,0.62,0.69,0.61,0.64,0.52,0.26,0.33,0.27,0.29,0.27,0.3,0.26,0.19,0.3,0.25
