,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.41,1.09,1.15,1.51,1.19,1.16,2.35,2.47,2.41,4.32,2.96,3.18,2.98,3.45,2.2,3.15
f_1,1.74,2.42,1.2,1.29,1.22,1.11,2.04,2.11,2.28,2.49,2.58,1.65,2.58,2.78,1.79,3.03
d_1,1.22,1.36,2.47,0.97,1.26,1.23,2.5,2.29,4.16,1.73,3.01,2.81,2.69,3.36,2.99,3.24
c_1,1.14,1.17,1.35,2.68,2.02,1.18,2.23,2.07,1.25,2.21,2.55,2.54,2.59,2.87,2.65,3.46
b_1,1.25,1.24,1.28,0.96,2.8,2.18,2.51,2.39,2.52,2.47,1.43,2.66,1.99,3.52,2.82,3.18
a_1,1.26,1.32,1.2,1.34,0.99,3.34,2.62,2.61,3.22,2.83,2.84,2.99,2.32,4.02,2.57,3.81
h_1,1.19,1.86,1.35,1.4,1.06,1.3,3.91,3.49,2.95,2.62,2.75,3.02,3.12,2.75,2.98,4.01
g_1,1.32,1.24,1.76,1.47,1.12,1.19,2.22,4.21,2.92,3.11,2.8,4.2,2.6,3.54,3.57,3.06
c_0,1.34,1.61,1.31,1.35,1.24,1.06,2.7,2.78,4.11,3.17,4.93,3.63,3.25,4.1,3.55,3.96
d_0,1.2,1.26,1.03,2.54,1.37,1.1,2.6,2.69,2.25,4.11,2.94,3.14,2.99,3.92,3.35,4.09
b_0,1.29,1.48,1.46,1.48,1.06,0.97,3.1,2.89,2.39,2.78,4.27,2.86,6.0,4.43,3.39,4.17
f_0,1.12,1.33,1.46,1.39,1.34,1.31,2.83,2.43,3.03,3.14,3.75,4.38,3.45,4.35,6.66,3.98
a_0,1.31,1.52,1.45,1.37,1.53,1.05,2.76,2.8,3.19,2.6,2.44,3.27,4.72,4.19,3.52,3.04
h_0,1.2,1.86,1.51,1.42,1.3,1.02,2.25,3.03,2.81,2.83,2.66,2.67,3.05,2.89,3.28,4.19
e_0,0.95,2.02,1.29,1.36,1.46,1.64,2.92,2.32,2.92,2.74,3.01,2.15,2.96,4.22,5.31,4.45
g_0,1.17,1.33,1.9,1.31,1.43,1.0,2.57,2.31,3.14,2.34,3.08,4.2,3.9,3.67,2.77,3.08
