,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.05,1.03,0.88,0.87,0.73,0.48,0.4,0.35,0.56,0.42,0.4,0.33,0.34,0.31,0.28
e_1,0.94,1.0,0.77,1.12,0.92,0.8,0.55,0.62,0.49,0.43,0.44,0.44,0.41,0.36,0.4,0.36
f_1,0.97,1.29,1.0,0.96,0.81,0.84,0.38,0.44,0.47,0.38,0.34,0.35,0.27,0.32,0.25,0.29
c_1,1.14,0.91,1.05,1.0,1.18,0.7,0.47,0.33,0.43,0.38,0.38,0.33,0.4,0.33,0.31,0.41
b_1,1.16,1.09,1.23,0.84,1.0,1.14,0.6,0.44,0.47,0.54,0.42,0.55,0.4,0.34,0.41,0.43
a_1,1.36,1.23,1.2,1.42,0.87,1.0,0.8,0.63,0.68,0.62,0.61,0.66,0.57,0.47,0.55,0.47
h_1,2.05,1.92,2.64,2.05,1.65,1.31,1.0,0.89,1.24,0.77,0.81,0.79,0.77,0.7,0.63,0.77
d_0,2.35,1.64,2.27,3.04,2.32,1.68,1.13,1.0,0.95,0.77,0.83,0.88,0.79,0.63,0.68,0.78
g_1,3.03,2.16,2.13,2.24,2.09,1.43,0.81,1.06,1.0,0.94,1.08,0.96,0.8,0.88,0.83,0.65
c_0,1.76,2.46,2.54,2.58,1.79,1.5,1.33,1.34,1.09,1.0,0.99,1.57,0.92,0.84,0.86,0.87
f_0,2.44,2.33,2.82,2.55,2.39,1.71,1.26,1.11,0.96,1.04,1.0,1.03,0.93,0.73,1.14,0.63
b_0,2.43,2.31,2.84,3.04,1.76,1.45,1.23,1.25,1.03,0.68,1.01,1.0,0.98,1.27,0.88,0.75
h_0,2.93,2.49,3.67,2.5,2.41,1.81,1.28,1.21,1.27,1.07,1.06,1.02,1.0,0.82,0.85,1.0
a_0,2.99,2.98,3.16,2.84,2.63,2.31,1.53,1.51,1.1,1.27,1.35,0.8,1.2,1.0,0.96,0.99
e_0,3.27,2.81,3.93,3.07,2.47,1.92,1.59,1.49,1.14,1.2,0.83,1.2,1.13,1.04,1.0,1.01
g_0,3.76,2.78,3.3,2.6,2.2,2.13,1.3,1.23,1.53,1.15,1.56,1.36,1.02,1.02,0.95,1.0
