,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.17,0.42,0.45,0.46,0.47,0.43,0.1,0.15,0.09,0.09,0.08,0.12,0.07,0.05,0.07,0.09
e_1,0.27,0.17,0.48,0.47,0.51,0.48,0.14,0.14,0.11,0.1,0.09,0.12,0.1,0.06,0.07,0.13
d_1,0.47,0.49,0.16,0.47,0.41,0.37,0.12,0.08,0.15,0.1,0.09,0.09,0.09,0.06,0.04,0.08
c_1,0.43,0.38,0.54,0.15,0.45,0.43,0.12,0.12,0.05,0.14,0.09,0.08,0.09,0.07,0.06,0.07
b_1,0.47,0.54,0.51,0.25,0.13,0.39,0.15,0.17,0.1,0.12,0.14,0.09,0.11,0.07,0.08,0.1
a_1,0.56,0.47,0.42,0.47,0.22,0.1,0.15,0.14,0.11,0.11,0.12,0.09,0.2,0.1,0.07,0.1
h_1,0.44,0.33,0.36,0.45,0.39,0.35,0.06,0.13,0.09,0.08,0.08,0.07,0.08,0.08,0.05,0.08
g_1,0.44,0.39,0.37,0.49,0.42,0.34,0.09,0.05,0.09,0.08,0.07,0.08,0.07,0.04,0.07,0.07
d_0,0.39,0.24,0.67,0.42,0.42,0.42,0.1,0.16,0.05,0.08,0.09,0.08,0.09,0.07,0.06,0.08
c_0,0.52,0.37,0.22,0.7,0.48,0.38,0.11,0.11,0.14,0.05,0.09,0.08,0.08,0.06,0.06,0.08
b_0,0.42,0.35,0.29,0.6,0.72,0.41,0.12,0.11,0.1,0.04,0.05,0.08,0.07,0.06,0.07,0.08
f_0,0.64,0.37,0.32,0.41,0.39,0.4,0.11,0.07,0.09,0.07,0.09,0.04,0.08,0.06,0.04,0.09
a_0,0.42,0.33,0.37,0.4,0.58,0.56,0.12,0.12,0.08,0.07,0.04,0.08,0.04,0.06,0.05,0.07
h_0,0.44,0.38,0.37,0.41,0.42,0.3,0.15,0.11,0.09,0.09,0.07,0.07,0.08,0.08,0.05,0.07
g_0,0.44,0.4,0.35,0.42,0.4,0.37,0.08,0.11,0.09,0.08,0.08,0.08,0.08,0.05,0.08,0.07
e_0,0.53,0.45,0.34,0.46,0.38,0.39,0.1,0.11,0.08,0.07,0.08,0.03,0.09,0.06,0.05,0.03
