,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.39,1.21,1.51,1.88,3.23,19.96,28.57,31.83,36.08,46.22,49.05,56.31,124.53,94.55,138.34
e_1,0.72,1.0,1.6,1.26,1.94,3.49,23.81,40.67,40.95,37.24,45.53,48.15,87.15,120.23,144.76,106.86
c_1,0.83,0.62,1.0,1.12,2.13,2.25,16.69,16.06,25.2,18.81,29.68,29.4,55.1,73.07,83.15,102.36
d_1,0.66,0.79,0.9,1.0,1.25,2.22,19.11,22.32,19.14,34.89,31.75,36.24,49.32,86.07,82.72,67.66
b_1,0.53,0.51,0.47,0.8,1.0,2.6,10.86,15.49,17.31,16.73,20.08,25.2,36.5,57.76,64.67,55.45
a_1,0.31,0.29,0.44,0.45,0.39,1.0,6.75,10.33,8.92,11.24,11.65,15.05,21.66,33.0,33.27,36.49
h_1,0.05,0.04,0.06,0.05,0.09,0.15,1.0,1.11,1.79,1.83,1.47,1.81,3.11,4.25,4.44,5.49
d_0,0.04,0.02,0.07,0.05,0.06,0.1,0.9,1.0,1.16,1.36,1.71,1.68,2.57,3.1,3.36,6.31
g_1,0.03,0.03,0.04,0.05,0.06,0.11,0.55,0.85,1.0,0.86,1.61,1.34,1.73,3.95,3.73,4.24
c_0,0.03,0.03,0.05,0.03,0.06,0.09,0.55,0.72,1.14,1.0,1.09,1.79,1.93,3.29,3.65,3.06
f_0,0.02,0.02,0.03,0.03,0.05,0.09,0.67,0.59,0.61,0.92,1.0,1.17,1.61,4.12,2.78,2.72
b_0,0.02,0.02,0.03,0.03,0.04,0.07,0.53,0.59,0.75,0.58,0.85,1.0,1.32,2.18,3.18,2.34
h_0,0.02,0.01,0.02,0.02,0.03,0.05,0.36,0.38,0.56,0.5,0.57,0.74,1.0,1.59,1.51,1.87
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.24,0.33,0.27,0.29,0.25,0.47,0.63,1.0,1.04,1.12
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.29,0.26,0.28,0.34,0.31,0.69,0.99,1.0,1.21
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.17,0.23,0.34,0.35,0.42,0.54,0.9,0.87,1.0
