,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.73,0.39,0.42,0.38,0.35,0.37,0.79,1.48,0.76,0.83,0.89,0.93,0.81,0.7,0.2,1.05
f_1,0.78,3.75,0.38,0.32,0.32,0.26,0.67,0.8,0.7,0.79,0.82,0.18,1.01,0.74,0.65,0.9
c_1,0.3,0.36,4.41,0.34,0.75,0.49,0.77,0.95,0.77,0.17,0.6,0.86,0.72,0.74,0.9,0.84
d_1,0.33,0.49,0.29,4.51,0.39,0.38,0.82,0.19,0.84,1.57,0.82,0.76,0.95,0.94,0.82,0.65
b_1,0.37,0.36,0.51,0.45,4.9,0.72,0.6,0.64,0.56,0.62,0.14,0.81,1.11,0.54,0.7,0.84
a_1,0.42,0.36,0.43,0.51,0.36,6.58,0.72,0.69,0.94,0.77,0.68,0.74,0.8,0.15,0.73,0.81
h_1,0.6,1.13,0.62,0.67,0.59,0.57,5.22,1.24,1.29,1.25,1.42,1.39,0.63,1.71,1.33,1.57
d_0,0.51,0.76,1.47,0.19,0.82,0.6,1.24,3.58,1.14,1.09,1.39,1.7,1.55,1.4,1.71,1.42
g_1,0.57,0.7,0.54,1.12,0.74,0.55,1.1,1.42,6.02,1.49,1.78,1.61,1.4,1.31,1.54,0.72
c_0,0.72,0.84,0.22,0.87,0.39,0.63,1.77,1.26,1.4,4.29,3.29,1.68,1.47,2.07,1.77,1.82
b_0,0.79,0.77,0.62,0.8,0.17,0.66,1.89,1.09,1.07,1.43,4.27,1.84,1.37,3.49,1.57,1.97
f_0,0.56,0.29,0.79,0.75,0.83,0.71,1.38,1.56,1.37,1.48,2.08,4.69,1.51,1.64,4.08,1.31
h_0,0.63,1.04,0.74,0.64,0.61,0.68,0.48,1.08,1.44,1.11,1.63,1.56,0.55,1.55,1.95,1.94
a_0,0.76,0.73,0.97,0.82,0.49,0.25,1.1,1.64,1.09,1.47,1.43,1.78,1.83,5.97,1.73,1.62
e_0,0.17,0.78,0.76,0.75,0.91,0.67,1.52,1.53,1.58,1.44,2.03,1.71,1.73,1.78,6.61,1.72
g_0,0.79,0.45,0.57,1.19,0.78,0.55,1.4,1.03,0.6,1.42,1.18,2.78,2.02,1.44,1.67,0.63
