,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.48,1.05,1.52,1.53,3.81,16.94,26.96,27.09,32.44,39.66,42.95,74.12,61.85,95.23,160.31
e_1,0.68,1.0,1.07,1.62,1.4,4.52,19.33,29.34,27.37,50.61,42.85,38.15,73.08,104.74,98.12,126.01
d_1,0.95,0.93,1.0,1.46,1.55,3.98,16.74,18.02,42.15,30.09,33.35,36.73,67.67,84.58,69.84,90.55
c_1,0.66,0.62,0.68,1.0,1.52,2.54,11.43,19.13,19.21,17.45,23.47,24.68,52.67,59.82,55.23,79.66
b_1,0.65,0.72,0.64,0.66,1.0,3.78,11.49,18.23,17.68,25.77,27.09,25.07,58.76,55.3,52.64,78.5
a_1,0.26,0.22,0.25,0.39,0.26,1.0,4.72,6.36,8.6,9.61,9.47,11.66,22.37,20.14,,31.37
h_1,0.06,0.05,0.06,0.09,0.09,0.21,1.0,1.58,1.39,1.84,2.56,1.76,4.92,3.54,5.49,9.05
g_1,0.04,0.03,0.05,0.05,0.05,0.15,0.65,1.0,0.93,1.06,1.83,1.42,2.47,3.09,3.6,4.32
c_0,0.04,0.04,0.02,0.05,0.06,0.11,0.71,1.1,1.0,1.37,1.34,1.86,2.93,2.67,3.3,4.67
d_0,0.03,0.02,0.03,0.06,0.04,0.11,0.53,0.98,0.69,1.0,0.92,0.94,2.23,2.84,2.65,3.97
f_0,0.03,0.02,0.03,0.04,0.04,0.1,0.39,0.53,0.74,1.06,1.0,0.94,2.45,3.68,2.61,2.75
b_0,0.02,0.03,0.03,0.04,0.04,0.09,0.57,0.7,0.54,1.05,0.98,1.0,2.42,2.24,3.32,3.15
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.4,0.35,0.42,0.4,0.42,1.0,0.8,1.21,1.69
e_0,0.02,0.01,0.01,0.02,0.02,0.04,0.29,0.32,0.37,0.36,0.27,0.45,1.2,1.0,1.09,1.54
a_0,0.01,0.01,0.01,0.02,0.02,,0.18,0.3,0.32,0.37,0.38,0.3,0.9,0.92,1.0,1.5
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.22,0.21,0.24,0.34,0.32,0.6,0.64,0.64,1.0
