,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,107.49,103.13,93.37,109.54,122.62,316.98,11758.22,24778.13,23383.04,33005.78,44056.02,52978.3,126158.24,206399.36,136011.87,270431.95
e_1,70.24,108.39,92.58,127.95,125.1,374.56,15006.48,33787.79,21635.83,35962.68,47522.38,72208.18,143558.48,227956.99,194101.22,292157.96
d_1,74.51,66.48,142.96,85.06,98.14,346.13,11820.07,15550.5,33101.26,26654.65,51044.96,66212.07,134076.86,174519.26,194324.01,241041.88
c_1,64.48,58.34,88.54,146.65,164.17,358.9,12457.25,15901.96,19078.52,31376.8,30299.63,61288.47,108664.78,154730.73,185922.42,239846.68
b_1,57.41,55.89,90.32,79.2,165.96,543.17,12579.86,19121.31,20503.12,32956.13,35409.59,57391.23,123123.24,132522.74,152593.02,240374.55
a_1,47.67,41.46,63.66,61.94,61.11,418.83,9474.6,14853.51,14173.82,23874.78,32750.32,46282.5,91028.02,96673.76,128799.7,191806.92
h_1,20.46,15.57,24.76,24.43,24.63,77.93,4173.61,4882.49,5369.75,9694.62,10265.11,15220.66,26995.14,42850.74,45607.87,77156.08
d_0,14.25,12.02,18.32,32.84,27.17,63.68,2789.79,5344.91,3472.14,7074.29,8252.93,14555.36,25959.67,34383.26,40733.1,53578.72
c_0,15.62,15.07,18.67,18.61,20.63,70.09,2856.54,5237.13,5829.04,7315.21,14986.12,13187.32,28023.47,45225.13,42586.78,58551.27
g_1,11.19,10.81,24.12,17.14,19.1,58.11,2021.25,3308.58,3932.5,8601.95,7546.79,15794.82,23367.74,31887.9,41413.14,40949.58
b_0,12.94,11.98,16.98,18.65,14.68,43.04,2262.45,3642.74,3425.8,6306.11,9835.71,11309.33,22269.7,50931.05,32562.79,46911.65
f_0,10.12,8.7,15.41,15.55,18.1,50.84,1995.47,3056.77,3606.88,4898.51,6955.85,13308.33,20095.03,26245.7,45825.03,35704.31
h_0,9.97,8.48,12.64,13.21,14.14,40.39,1518.48,2654.04,2864.4,4655.05,5895.35,8495.04,13741.04,22214.47,21847.47,38343.46
a_0,6.77,6.86,10.97,11.66,12.83,28.04,1404.97,2255.97,2496.63,3852.69,4596.73,7803.64,14792.8,27900.39,19918.13,31777.38
e_0,8.53,5.67,9.67,10.32,13.46,39.57,1350.08,1929.96,2527.57,3300.33,5218.02,6890.72,16653.18,20717.96,28717.81,27827.99
g_0,6.09,6.01,12.46,10.16,11.21,31.81,1233.04,2104.28,2336.98,3298.98,4326.89,9628.72,12267.23,20374.69,21397.35,25214.8
