,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,111.61,59.74,38.37,43.06,48.68,197.34,5484.67,11050.3,12278.24,12923.41,19754.41,14599.03,49161.94,58638.83,52893.65,114382.14
e_1,29.07,118.83,29.82,46.73,65.79,187.52,6749.56,8346.39,12644.83,21199.61,19093.66,31328.93,61363.08,63042.59,43085.8,107994.71
d_1,37.31,40.23,126.57,37.66,48.19,182.62,6311.93,8374.49,18470.31,4123.75,20817.58,38803.12,46815.62,61483.2,73918.57,90007.88
c_1,29.22,35.83,40.4,133.36,88.75,164.03,5435.95,6869.72,4268.96,10962.72,13921.07,29920.76,45111.27,66564.99,65408.61,112808.94
b_1,34.45,27.61,39.68,33.75,166.43,232.88,5133.76,7759.15,9797.28,10185.44,7586.43,28993.64,44800.71,65180.47,83654.48,102566.04
a_1,22.18,19.99,26.45,25.14,26.25,451.84,3916.17,6338.14,6735.41,8481.49,10255.64,18747.67,12255.56,38552.15,50918.73,74773.9
h_1,13.18,10.06,13.29,13.28,15.65,38.39,3773.72,3969.46,4060.74,3192.57,6154.96,8220.78,15019.49,11126.82,18478.4,37657.75
g_1,8.74,7.83,14.77,13.53,10.95,38.79,1237.59,5586.94,2404.56,2876.09,4748.76,11904.94,12161.71,14869.1,22769.91,14061.69
c_0,8.98,9.31,9.61,6.98,12.08,50.91,1569.55,3333.29,5298.14,3104.94,8506.95,8720.66,15061.91,16079.69,20266.1,25560.62
d_0,8.87,7.18,6.24,16.57,14.11,46.68,2117.6,2273.46,2543.73,5303.19,4765.12,7316.64,13736.03,14425.86,13659.8,26707.15
b_0,8.51,7.65,9.05,10.57,7.57,30.95,1372.38,2034.27,2530.64,2887.38,7310.0,8719.9,18923.36,15581.79,13927.83,21287.86
f_0,3.9,6.31,7.82,8.87,9.52,34.96,1300.11,2035.11,2466.67,2429.36,3168.53,10994.34,8964.95,12701.4,24927.42,16014.36
a_0,5.89,4.53,7.98,7.26,8.64,16.71,1072.94,1548.84,1883.82,1763.41,2693.73,5300.49,15893.77,12629.75,13196.0,16480.21
h_0,7.19,4.84,6.79,6.56,7.38,26.21,664.44,2125.05,1967.17,2002.33,3128.5,4502.72,7206.21,5494.27,14761.78,18994.93
e_0,5.9,,6.3,6.83,6.12,25.95,1159.24,1536.01,1676.44,2085.3,3323.78,3656.85,5969.21,8286.7,23484.84,15368.28
g_0,4.12,4.51,7.99,5.21,6.29,22.29,785.11,999.21,1596.7,1204.38,2418.75,5680.37,6828.13,7095.13,9848.02,8076.61
