,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.57,0.81,0.47,0.87,0.58,0.56,0.93,2.4,0.93,0.79,1.01,0.95,0.81,0.95,0.67,0.98
f_1,1.57,12.67,0.54,0.65,0.52,0.65,0.72,0.9,0.84,0.85,0.9,0.52,0.93,0.79,0.66,0.8
d_1,0.53,0.69,14.88,0.48,0.7,0.71,0.95,0.47,1.06,2.5,1.14,1.1,1.17,1.15,1.15,0.98
c_1,0.55,0.52,0.72,14.08,1.53,0.57,0.89,0.8,0.87,0.48,0.7,0.98,1.09,0.92,1.07,0.85
b_1,0.55,0.55,0.71,0.75,15.69,1.57,0.81,0.77,0.76,0.88,0.56,0.83,0.82,0.67,0.97,1.03
a_1,0.57,0.69,0.9,0.62,0.64,22.3,1.11,1.02,0.93,0.91,1.16,1.06,1.05,0.65,0.9,1.07
h_1,0.76,1.42,0.86,0.63,0.53,0.66,3.89,0.99,1.35,0.87,1.19,0.98,0.88,1.26,0.91,1.52
d_0,0.81,0.81,0.43,2.13,0.66,0.64,1.14,2.07,0.92,0.65,1.0,1.07,1.0,0.82,0.95,1.05
g_1,0.59,0.64,1.59,0.69,0.79,0.64,1.1,0.88,4.66,0.93,0.89,2.17,1.1,1.26,1.18,0.81
c_0,0.75,0.99,0.96,0.46,0.52,0.66,1.29,0.98,0.96,2.85,3.02,1.3,1.1,1.4,1.43,1.21
b_0,0.76,1.02,0.79,0.87,0.39,0.59,1.16,1.06,1.15,0.99,2.41,1.12,1.35,3.25,1.14,1.17
f_0,0.59,0.6,1.09,0.72,0.7,0.69,1.5,1.01,1.11,1.0,1.42,3.16,1.13,1.46,3.16,1.37
h_0,0.57,1.15,0.91,0.71,0.75,0.69,0.78,0.89,1.59,1.13,1.31,1.26,0.79,1.14,1.24,1.62
a_0,0.66,0.88,0.94,0.73,0.59,0.59,1.38,1.0,1.56,1.22,1.26,1.13,1.45,3.77,1.43,1.31
e_0,0.41,1.0,0.88,0.91,0.8,0.71,1.57,1.01,1.01,1.0,1.28,1.29,1.73,1.31,3.48,1.41
g_0,0.57,0.49,1.55,0.87,0.71,0.76,1.27,0.82,0.71,0.99,1.38,2.27,1.23,1.01,1.38,1.06
