,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.02,0.83,0.94,0.99,1.05,1.13,1.28,0.8,1.08,0.94,1.0,1.03,1.02,0.76
f_1,0.86,1.0,1.31,1.07,0.91,0.83,0.88,1.04,0.98,1.04,0.98,0.97,0.9,0.89,0.77,0.97
e_1,0.97,0.77,1.0,1.15,1.09,1.0,1.01,1.47,0.98,1.19,1.01,1.11,1.15,1.05,0.94,1.26
c_1,1.23,0.92,0.87,1.0,1.33,0.81,0.99,0.7,0.85,1.0,0.8,0.92,1.0,1.0,1.08,1.08
b_1,1.05,1.09,0.92,0.75,1.0,1.66,1.06,1.04,0.95,0.96,1.16,0.95,0.97,0.87,0.97,0.91
a_1,1.01,1.23,1.0,1.22,0.6,1.0,1.03,0.88,0.94,1.09,1.12,1.21,1.04,1.11,1.07,1.08
h_1,0.95,1.14,1.04,1.0,0.95,0.94,1.0,0.92,0.9,1.14,0.89,0.98,0.99,0.89,1.0,1.2
d_0,0.91,0.91,0.66,1.41,1.02,1.1,1.12,1.0,0.89,1.12,1.1,1.13,1.11,1.02,1.03,1.29
c_0,0.79,1.03,1.02,1.09,0.98,0.99,1.13,1.15,1.0,1.12,1.28,1.0,1.03,1.11,0.94,1.09
g_1,1.23,0.9,0.86,1.06,1.06,0.91,0.92,0.89,0.94,1.0,0.98,1.25,0.84,0.84,1.01,1.01
b_0,0.93,1.08,1.01,1.29,0.87,0.81,1.11,0.9,0.78,1.0,1.0,0.96,1.06,1.38,1.17,1.03
f_0,1.06,0.99,0.92,1.03,1.09,0.81,0.98,0.95,0.98,0.86,1.01,1.0,1.07,1.04,1.51,0.79
h_0,0.99,1.15,0.89,0.98,1.02,0.95,0.99,0.93,0.95,1.18,0.96,0.98,1.0,0.97,0.92,1.22
a_0,0.94,1.09,0.98,1.04,1.16,0.91,1.15,0.92,0.88,1.24,0.77,0.95,1.05,1.0,1.02,1.03
e_0,0.99,1.26,1.01,0.97,1.11,0.93,0.91,1.04,1.07,0.96,0.96,0.7,1.09,0.97,1.0,1.05
g_0,1.28,1.02,0.77,0.98,1.07,0.97,0.85,0.79,0.96,0.97,0.94,1.26,0.82,1.0,0.95,1.0
