,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,114.73,56.46,37.56,54.61,59.8,161.11,4019.04,9096.02,9959.83,12036.56,16883.07,10907.43,35452.05,48664.9,61631.62,97063.46
e_1,35.84,117.92,33.59,67.59,54.61,162.03,4791.69,11281.31,8273.92,18977.02,16749.19,28051.1,46987.41,41925.0,45566.75,92466.46
d_1,35.83,37.96,124.57,43.4,53.49,151.07,4474.1,17310.06,7867.52,7136.73,21460.74,26802.32,47849.31,49405.42,72742.1,77298.32
c_1,27.48,28.74,32.17,168.66,104.06,112.66,3788.1,4216.24,8266.02,7562.33,13848.81,20261.44,38968.91,44094.18,50727.47,87461.25
b_1,33.03,28.42,40.21,29.79,176.63,243.55,4159.29,8831.71,8775.68,10219.71,6969.67,19208.88,42755.09,40032.64,53510.98,77174.92
a_1,22.09,22.7,25.73,39.71,26.67,407.46,2946.27,6406.57,5313.66,8476.92,9406.21,20233.12,29539.87,17731.23,34427.43,54715.2
h_1,16.48,11.79,12.46,19.88,15.82,54.47,2867.52,3142.53,4196.67,3108.69,5879.66,7131.06,8281.43,19858.91,20689.63,29909.22
c_0,10.33,8.97,9.8,10.03,14.56,44.79,1223.93,4542.93,3230.01,3549.44,7765.96,7483.48,12731.11,16154.64,18845.69,19847.67
g_1,7.65,8.56,15.75,14.64,14.84,36.76,820.58,2434.8,5501.16,2050.17,4236.89,8472.92,8862.49,11338.48,13330.64,8713.28
d_0,9.55,8.36,5.33,26.63,12.69,36.62,1315.83,2156.67,2477.06,4864.42,4972.15,5986.74,9793.59,13199.63,15174.02,16096.22
b_0,8.39,8.54,8.22,15.25,8.75,27.6,1015.65,2201.54,2414.96,2291.99,6967.74,5968.16,11076.39,22528.73,18815.23,15509.37
f_0,4.87,5.39,8.62,13.12,12.8,25.72,991.14,2244.97,1815.75,2106.9,3816.5,9152.19,10404.25,14143.24,26368.72,15882.42
h_0,8.95,5.76,7.32,10.53,8.43,22.63,554.74,1750.2,2163.62,2231.73,2619.52,4216.81,4543.16,7563.85,14011.16,16919.97
a_0,6.05,6.1,6.25,11.22,8.85,,614.86,1624.13,1947.02,1917.72,2358.04,4022.19,8450.68,15776.62,11929.56,13337.59
e_0,5.0,2.61,5.38,11.05,8.51,23.24,690.02,1685.92,1716.94,2019.74,2447.98,3358.16,5187.16,7959.87,20341.38,13486.08
g_0,3.84,4.97,7.35,8.22,8.02,20.76,643.95,1503.37,1259.08,2095.3,3217.39,5316.39,5080.54,6795.07,9390.17,7225.27
