,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.52,0.75,0.58,0.91,0.75,0.59,1.01,0.85,1.46,0.81,0.88,0.88,0.99,0.72,0.52,0.85
f_1,1.18,1.53,0.7,0.74,0.57,0.54,0.72,0.73,0.75,0.85,0.47,0.8,0.84,0.69,0.57,0.71
d_1,0.82,0.83,1.56,0.66,0.72,0.61,0.84,0.78,0.52,1.37,0.8,0.92,1.0,0.8,0.68,0.71
c_1,0.64,0.73,0.81,1.57,1.2,0.57,0.89,0.67,0.77,0.49,0.8,0.66,0.93,0.72,0.71,0.93
b_1,0.72,0.77,0.82,0.56,1.57,1.06,0.79,0.83,0.88,0.91,0.97,0.56,0.97,0.61,0.81,0.92
a_1,0.8,0.88,0.89,0.78,0.62,1.73,1.01,0.96,0.91,0.97,0.9,1.02,1.08,0.5,0.99,0.89
h_1,0.88,1.31,1.04,0.97,0.89,0.75,1.74,1.28,1.16,1.03,0.95,1.16,0.92,0.87,0.96,1.5
g_1,0.92,0.92,1.32,1.1,1.02,0.74,1.11,1.83,0.98,1.16,1.53,0.97,1.0,0.91,0.94,0.88
d_0,0.91,1.14,0.89,1.68,0.87,0.85,1.16,1.16,1.64,0.94,1.17,1.07,1.22,1.0,0.99,1.2
c_0,1.21,1.13,0.97,0.83,0.87,0.86,1.33,1.05,1.24,1.61,1.18,1.95,1.28,1.25,0.88,1.2
f_0,0.81,0.96,1.09,1.16,1.14,0.96,1.38,1.11,1.25,0.93,1.75,1.07,1.42,0.99,1.97,1.3
b_0,1.02,1.14,0.98,1.27,0.91,0.62,1.05,1.28,1.36,1.09,1.28,1.75,1.4,1.94,1.07,1.19
h_0,1.03,1.34,1.13,1.07,1.0,0.82,0.98,1.58,1.34,1.18,1.2,1.2,1.04,1.18,0.96,1.53
a_0,1.19,1.12,1.03,1.19,1.25,0.46,1.44,1.44,1.2,1.15,1.42,0.96,1.26,1.8,1.14,1.59
e_0,0.89,1.32,1.36,1.06,0.98,0.9,1.44,1.25,1.25,1.46,0.97,1.26,1.62,1.04,1.77,1.26
g_0,0.89,1.13,1.72,1.05,0.98,0.97,1.07,1.09,1.06,1.24,1.74,1.26,1.23,0.87,1.37,1.09
