,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.88,1.27,1.47,1.32,1.31,0.69,0.59,0.62,0.44,0.49,0.52,0.44,0.46,0.64,0.38
f_1,1.43,0.66,1.11,1.38,1.25,1.06,0.43,0.65,0.47,0.44,0.43,0.66,0.28,0.4,0.47,0.37
d_1,1.45,1.49,0.64,1.26,1.28,1.18,0.58,0.42,0.69,0.53,0.5,0.43,0.4,0.43,0.4,0.27
c_1,1.2,1.37,1.74,0.64,1.49,1.24,0.54,0.62,0.32,0.57,0.44,0.42,0.42,0.41,0.4,0.47
b_1,1.45,1.51,1.52,0.85,0.63,1.59,0.71,0.72,0.56,0.68,0.69,0.5,0.46,0.51,0.5,0.37
a_1,1.57,2.15,1.61,1.7,0.98,0.57,0.85,0.67,0.67,0.67,0.78,0.64,0.46,1.18,0.59,0.53
h_1,1.92,2.54,1.76,2.24,1.84,1.64,0.57,1.08,0.71,0.67,0.72,0.65,0.72,0.59,0.56,0.63
g_1,2.27,2.22,2.11,2.27,2.04,1.87,0.73,0.54,0.86,0.77,0.78,0.77,0.51,0.75,0.57,0.66
d_0,1.3,2.26,2.84,2.61,2.28,1.92,1.08,1.1,0.6,0.75,0.8,0.74,0.67,0.72,0.84,0.73
c_0,2.63,2.55,1.44,3.36,1.93,1.79,1.08,0.92,1.05,0.6,0.99,0.87,0.65,0.73,0.84,0.65
b_0,2.15,2.37,2.07,3.28,3.68,1.85,1.06,0.91,0.93,0.5,0.57,0.71,0.81,0.98,0.79,0.71
f_0,2.26,3.11,2.42,2.68,2.54,1.77,1.24,0.76,0.8,0.76,0.83,0.57,0.73,0.89,0.93,0.56
h_0,2.3,2.82,2.49,2.6,2.34,2.32,1.36,1.29,0.95,0.93,0.8,0.82,0.88,0.8,0.79,0.78
a_0,2.47,2.93,2.64,2.97,2.78,2.71,1.4,1.32,1.06,0.95,0.55,0.92,0.83,0.55,0.91,0.79
e_0,3.3,3.35,2.91,2.46,2.64,2.06,1.4,1.41,0.95,1.05,1.0,0.53,0.88,1.1,0.55,0.79
g_0,2.64,2.89,3.17,2.68,2.82,2.52,0.97,1.56,0.98,1.04,0.98,1.0,0.72,0.94,0.85,0.95
