,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.57,0.81,0.93,0.85,0.83,0.42,0.41,0.49,0.34,0.35,0.41,0.38,0.41,0.61,0.37
f_1,0.78,0.41,0.73,0.91,0.86,0.81,0.31,0.36,0.48,0.33,0.32,0.46,0.24,0.32,0.29,0.36
d_1,1.01,0.9,0.39,0.7,0.77,0.71,0.43,0.61,0.34,0.42,0.38,0.32,0.34,0.32,0.38,0.22
c_1,0.69,0.78,1.05,0.39,0.88,0.75,0.5,0.23,0.44,0.49,0.32,0.36,0.33,0.37,0.35,0.27
b_1,0.87,0.88,0.75,0.56,0.36,0.93,0.53,0.41,0.37,0.41,0.57,0.36,0.27,0.42,0.38,0.36
a_1,0.82,0.82,0.85,0.91,0.53,0.31,0.51,0.43,0.48,0.42,0.47,0.42,0.36,0.51,0.35,0.34
h_1,0.7,0.93,0.68,0.7,0.69,0.63,0.25,0.32,0.4,0.29,0.33,0.27,0.34,0.29,0.24,0.26
d_0,0.48,0.72,0.95,0.92,0.72,0.68,0.44,0.26,0.4,0.33,0.32,0.35,0.29,0.31,0.31,0.35
g_1,0.69,0.71,0.76,0.72,0.84,0.64,0.33,0.34,0.22,0.33,0.33,0.39,0.23,0.3,0.3,0.46
c_0,0.81,0.75,0.46,1.07,0.68,0.75,0.46,0.42,0.43,0.23,0.43,0.37,0.25,0.35,0.33,0.26
b_0,0.67,0.81,0.64,0.85,0.88,0.61,0.37,0.33,0.4,0.21,0.24,0.28,0.26,0.4,0.31,0.24
f_0,0.72,1.02,0.71,0.66,0.77,0.65,0.44,0.32,0.28,0.3,0.32,0.23,0.25,0.36,0.43,0.19
h_0,0.72,0.77,0.63,0.64,0.75,0.64,0.47,0.34,0.4,0.34,0.3,0.37,0.33,0.29,0.27,0.29
a_0,0.69,0.83,0.74,0.77,0.77,0.97,0.37,0.39,0.41,0.3,0.19,0.29,0.28,0.2,0.31,0.31
e_0,0.81,0.95,0.64,0.71,0.69,0.76,0.46,0.35,0.38,0.31,0.34,0.19,0.28,0.29,0.2,0.26
g_0,0.65,0.75,0.81,0.81,0.66,0.69,0.32,0.28,0.43,0.31,0.34,0.34,0.22,0.32,0.29,0.3
