,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,0.36,0.69,0.79,0.71,0.7,0.23,0.22,0.16,0.12,0.19,0.15,0.1,0.13,0.33,0.13
f_1,0.54,0.16,0.61,0.7,0.75,0.62,0.13,0.22,0.13,0.12,0.25,0.13,0.07,0.14,0.11,0.1
d_1,0.95,0.68,0.15,0.63,0.59,0.57,0.18,0.13,0.28,0.12,0.13,0.13,0.09,0.15,0.1,0.05
c_1,0.52,0.66,0.74,0.15,0.79,0.69,0.19,0.16,0.08,0.24,0.12,0.11,0.1,0.14,0.13,0.1
b_1,0.63,0.97,0.64,0.37,0.14,0.71,0.19,0.16,0.16,0.18,0.11,0.26,0.1,0.12,0.15,0.11
a_1,0.75,0.77,0.65,0.78,0.34,0.1,0.2,0.23,0.15,0.14,0.13,0.22,0.1,0.46,0.13,0.09
h_1,0.46,0.57,0.53,0.51,0.55,0.45,0.06,0.14,0.12,0.1,0.1,0.13,0.12,0.1,0.09,0.09
g_1,0.52,0.6,0.5,0.63,0.5,0.5,0.12,0.05,0.11,0.11,0.1,0.11,0.05,0.09,0.09,0.1
d_0,0.28,0.57,1.12,0.56,0.52,0.5,0.17,0.17,0.06,0.1,0.13,0.09,0.07,0.12,0.12,0.1
c_0,0.57,0.54,0.28,0.96,0.57,0.48,0.16,0.15,0.16,0.06,0.15,0.1,0.09,0.11,0.1,0.08
f_0,0.51,1.06,0.51,0.56,0.44,0.48,0.17,0.09,0.12,0.1,0.05,0.11,0.07,0.08,0.12,0.05
b_0,0.51,0.55,0.41,0.7,0.85,0.46,0.13,0.18,0.12,0.05,0.13,0.05,0.07,0.11,0.11,0.07
h_0,0.49,0.51,0.45,0.53,0.51,0.41,0.24,0.16,0.11,0.1,0.1,0.1,0.12,0.11,0.08,0.08
a_0,0.49,0.56,0.42,0.54,0.65,1.04,0.16,0.15,0.1,0.08,0.1,0.05,0.06,0.04,0.1,0.09
e_0,0.98,0.62,0.51,0.6,0.42,0.39,0.14,0.14,0.12,0.11,0.06,0.1,0.09,0.09,0.04,0.05
g_0,0.57,0.65,0.56,0.48,0.47,0.51,0.1,0.22,0.12,0.1,0.09,0.11,0.05,0.08,0.09,0.1
