,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.92,0.9,0.85,0.62,0.42,0.43,0.44,0.37,0.37,0.37,0.3,0.31,0.25,0.32
e_1,0.82,1.0,1.2,0.9,0.92,0.67,0.52,0.54,0.59,0.43,0.42,0.45,0.36,0.33,0.34,0.36
c_1,1.05,0.85,1.0,1.17,1.18,0.76,0.51,0.44,0.32,0.33,0.34,0.36,0.38,0.33,0.34,0.32
d_1,1.09,1.12,0.86,1.0,0.98,0.67,0.51,0.36,0.41,0.56,0.47,0.41,0.37,0.39,0.37,0.27
b_1,1.18,1.09,0.86,1.01,1.0,1.22,0.57,0.51,0.49,0.56,0.44,0.45,0.39,0.37,0.38,0.37
a_1,1.69,1.47,1.3,1.46,0.83,1.0,0.8,0.62,0.56,0.54,0.63,0.48,0.5,0.43,0.4,0.38
h_1,2.32,1.88,1.93,2.03,1.68,1.23,1.0,1.03,0.82,0.81,0.81,0.68,0.79,0.65,0.63,0.83
g_1,2.36,1.92,2.22,2.81,1.9,1.67,0.99,1.0,0.92,0.94,0.91,1.07,0.71,0.9,0.82,0.69
d_0,2.32,1.69,3.33,2.25,2.21,1.63,1.16,1.08,1.0,0.8,0.95,0.85,0.92,0.8,0.79,0.89
c_0,2.62,2.4,2.82,1.82,1.84,1.79,1.28,1.03,1.21,1.0,1.31,0.91,0.89,0.92,0.9,0.71
b_0,2.74,2.37,3.0,2.1,2.07,1.67,1.28,1.09,1.03,0.77,1.0,0.93,0.97,1.09,0.81,0.87
f_0,2.76,2.24,2.88,2.37,2.3,1.98,1.45,0.96,1.14,1.04,0.99,1.0,0.93,0.78,1.18,0.74
h_0,3.33,2.98,2.71,2.7,2.54,1.99,1.25,1.45,1.07,1.12,1.0,1.09,1.0,0.89,0.77,1.0
a_0,3.19,3.09,2.9,2.51,2.67,2.29,1.55,1.11,1.13,1.15,0.9,1.27,1.07,1.0,0.87,0.94
e_0,3.93,2.87,2.96,2.76,2.84,2.41,1.59,1.3,1.33,1.16,1.24,0.91,1.34,1.19,1.0,0.99
g_0,3.03,2.76,3.01,3.54,2.84,2.49,1.29,1.49,1.11,1.35,1.21,1.37,0.98,1.04,0.99,1.0
