,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.08,1.06,0.92,0.96,0.92,0.96,0.8,1.27,1.05,1.11,0.96,1.01,0.91,0.98,0.94
e_1,0.92,1.0,0.81,1.19,1.01,0.97,1.18,1.07,0.98,1.33,1.05,1.16,1.0,1.13,1.1,1.1
f_1,0.93,1.22,1.0,1.02,0.97,0.89,0.87,0.97,0.86,0.97,0.89,0.95,0.84,0.99,0.97,0.81
c_1,1.09,0.86,1.0,1.0,1.31,1.0,1.05,1.11,0.85,0.71,0.77,0.89,1.03,1.01,0.87,1.03
b_1,1.06,0.98,1.04,0.77,1.0,1.45,0.99,1.03,1.06,1.03,0.98,1.07,1.07,1.06,0.79,1.05
a_1,1.07,1.0,1.06,1.0,0.71,1.0,1.08,1.1,1.12,1.08,1.35,1.11,1.12,0.89,1.18,0.99
h_1,1.02,0.88,1.12,0.97,1.01,0.93,1.0,1.17,0.95,0.91,1.03,1.02,1.0,1.11,1.03,1.01
g_1,1.21,0.96,1.04,0.88,0.98,0.88,0.84,1.0,1.0,0.86,1.0,1.05,0.89,0.97,1.04,1.01
c_0,0.84,1.01,1.16,1.16,0.93,0.84,1.05,1.02,1.0,1.17,1.32,1.0,1.11,1.01,1.2,1.11
d_0,0.95,0.78,1.04,1.35,1.0,0.89,1.05,1.21,0.79,1.0,0.91,0.97,1.04,1.07,1.07,1.17
b_0,0.91,0.93,1.09,1.35,1.02,0.68,0.98,1.02,0.74,1.06,1.0,0.89,1.09,0.99,1.57,1.01
f_0,1.05,0.88,1.02,1.1,0.92,0.92,0.96,0.96,0.99,1.08,1.05,1.0,1.11,0.87,1.01,1.38
h_0,1.0,0.99,1.2,0.98,0.91,0.88,0.98,1.16,0.92,0.96,0.92,0.87,1.0,1.17,0.87,0.97
g_0,1.11,0.91,1.05,0.99,0.99,1.07,0.9,1.04,0.96,0.94,0.99,1.19,0.82,1.0,0.97,1.03
a_0,1.0,0.91,1.01,1.14,1.27,0.9,1.02,0.94,0.82,0.9,0.68,0.97,1.17,1.05,1.0,1.01
e_0,1.02,0.88,1.17,0.98,1.0,0.96,1.01,0.98,0.89,0.88,1.03,0.74,1.08,0.92,1.08,1.0
