,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.45,0.71,0.57,0.64,0.59,0.33,0.32,0.25,0.27,0.34,0.34,0.24,0.27,0.35,0.28
f_1,0.64,0.42,0.59,0.56,0.56,0.49,0.25,0.31,0.25,0.26,0.31,0.27,0.19,0.26,0.23,0.24
c_1,0.48,0.59,0.39,0.77,0.66,0.54,0.32,0.18,0.31,0.25,0.3,0.27,0.23,0.24,0.27,0.22
d_1,0.69,0.61,0.53,0.38,0.58,0.59,0.29,0.32,0.29,0.28,0.23,0.26,0.21,0.24,0.22,0.16
b_1,0.57,0.64,0.41,0.63,0.36,0.76,0.35,0.27,0.33,0.37,0.34,0.3,0.25,0.29,0.26,0.22
a_1,0.6,0.72,0.58,0.58,0.37,0.3,0.36,0.3,0.31,0.38,0.34,0.27,0.27,0.36,0.28,0.26
h_1,0.55,0.67,0.54,0.57,0.54,0.48,0.23,0.26,0.26,0.25,0.3,0.26,0.23,0.24,0.26,0.22
d_0,0.42,0.56,0.68,0.68,0.57,0.57,0.34,0.23,0.24,0.25,0.38,0.26,0.24,0.24,0.3,0.26
c_0,0.64,0.62,0.78,0.4,0.54,0.47,0.29,0.35,0.21,0.27,0.29,0.27,0.24,0.26,0.24,0.19
b_0,0.54,0.61,0.81,0.47,0.62,0.47,0.31,0.28,0.18,0.2,0.3,0.25,0.22,0.29,0.25,0.23
g_1,0.58,0.63,0.61,0.57,0.59,0.48,0.26,0.26,0.23,0.23,0.18,0.24,0.17,0.24,0.23,0.21
f_0,0.53,0.72,0.61,0.54,0.56,0.53,0.29,0.28,0.24,0.25,0.22,0.19,0.22,0.23,0.29,0.15
h_0,0.56,0.63,0.59,0.55,0.52,0.43,0.35,0.25,0.24,0.26,0.31,0.23,0.23,0.27,0.22,0.22
a_0,0.56,0.55,0.69,0.55,0.56,0.54,0.32,0.29,0.22,0.15,0.29,0.25,0.21,0.18,0.26,0.21
e_0,0.59,0.65,0.57,0.57,0.53,0.5,0.28,0.26,0.27,0.26,0.29,0.16,0.23,0.25,0.18,0.2
g_0,0.54,0.59,0.57,0.6,0.59,0.48,0.26,0.25,0.24,0.23,0.3,0.27,0.18,0.24,0.24,0.23
