,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.16,0.45,0.26,0.57,0.51,0.42,0.14,0.15,0.1,0.11,0.13,0.1,0.08,0.1,0.14,0.08
d_1,0.53,0.16,0.45,0.49,0.5,0.39,0.12,0.08,0.08,0.17,0.09,0.07,0.06,0.09,0.09,0.04
f_1,0.43,0.44,0.16,0.43,0.47,0.42,0.09,0.14,0.09,0.09,0.12,0.08,0.05,0.08,0.09,0.08
c_1,0.34,0.59,0.47,0.14,0.43,0.39,0.12,0.17,0.16,0.05,0.1,0.1,0.06,0.09,0.09,0.05
b_1,0.47,0.5,0.55,0.24,0.14,0.44,0.14,0.15,0.13,0.1,0.09,0.15,0.07,0.1,0.1,0.07
a_1,0.48,0.48,0.56,0.46,0.22,0.1,0.14,0.13,0.12,0.13,0.11,0.17,0.06,0.18,0.09,0.07
h_1,0.38,0.37,0.4,0.41,0.38,0.44,0.06,0.1,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.06
g_1,0.44,0.37,0.41,0.46,0.39,0.36,0.09,0.05,0.08,0.1,0.07,0.09,0.04,0.08,0.07,0.08
c_0,0.43,0.22,0.41,0.69,0.58,0.43,0.11,0.09,0.05,0.14,0.08,0.08,0.07,0.09,0.08,0.06
d_0,0.23,0.75,0.4,0.44,0.41,0.38,0.12,0.14,0.09,0.05,0.09,0.1,0.06,0.08,0.09,0.07
f_0,0.38,0.35,0.6,0.38,0.45,0.37,0.11,0.07,0.08,0.09,0.05,0.07,0.06,0.07,0.07,0.04
b_0,0.37,0.32,0.41,0.67,0.67,0.36,0.1,0.09,0.04,0.09,0.07,0.04,0.06,0.07,0.07,0.05
h_0,0.38,0.38,0.46,0.37,0.36,0.37,0.14,0.13,0.09,0.09,0.07,0.07,0.08,0.07,0.07,0.06
a_0,0.49,0.31,0.37,0.46,0.51,0.48,0.12,0.12,0.07,0.09,0.08,0.04,0.06,0.04,0.08,0.06
e_0,0.56,0.35,0.57,0.4,0.35,0.32,0.11,0.1,0.08,0.09,0.04,0.09,0.06,0.08,0.04,0.05
g_0,0.44,0.36,0.45,0.36,0.38,0.43,0.09,0.13,0.08,0.09,0.08,0.08,0.04,0.06,0.07,0.08
