,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.19,0.24,0.14,0.14,0.09,0.16,0.33,0.11,0.17,0.16,0.16,0.17,0.12,0.06,0.12
f_1,0.38,0.89,0.16,0.16,0.11,0.12,0.12,0.14,0.1,0.14,0.15,0.05,0.16,0.09,0.06,0.11
c_1,0.17,0.2,0.89,0.16,0.28,0.08,0.18,0.15,0.13,0.05,0.1,0.15,0.16,0.1,0.09,0.09
d_1,0.18,0.21,0.16,0.89,0.15,0.08,0.14,0.07,0.16,0.33,0.21,0.15,0.18,0.13,0.1,0.14
b_1,0.15,0.16,0.2,0.17,0.88,0.23,0.13,0.15,0.13,0.18,0.07,0.14,0.16,0.07,0.1,0.15
a_1,0.24,0.22,0.14,0.18,0.15,0.87,0.19,0.17,0.13,0.16,0.15,0.1,0.18,0.04,0.11,0.12
h_1,0.23,0.33,0.23,0.18,0.19,0.11,0.57,0.21,0.23,0.16,0.17,0.18,0.1,0.13,0.1,0.16
d_0,0.23,0.21,0.45,0.11,0.17,0.1,0.18,0.43,0.17,0.14,0.2,0.18,0.19,0.11,0.14,0.18
g_1,0.22,0.2,0.19,0.38,0.17,0.11,0.16,0.14,0.55,0.21,0.17,0.26,0.24,0.07,0.15,0.09
c_0,0.23,0.26,0.11,0.27,0.14,0.13,0.21,0.22,0.14,0.43,0.37,0.21,0.24,0.18,0.13,0.16
b_0,0.26,0.26,0.25,0.24,0.07,0.1,0.19,0.23,0.18,0.21,0.42,0.19,0.22,0.28,0.13,0.16
f_0,0.21,0.11,0.26,0.29,0.2,0.13,0.19,0.22,0.19,0.2,0.19,0.43,0.22,0.15,0.25,0.18
h_0,0.23,0.32,0.22,0.27,0.15,0.14,0.1,0.21,0.22,0.2,0.18,0.15,0.13,0.13,0.13,0.23
a_0,0.25,0.31,0.22,0.24,0.14,0.07,0.18,0.21,0.16,0.25,0.21,0.16,0.22,0.38,0.13,0.15
e_0,0.15,0.25,0.28,0.23,0.22,0.15,0.18,0.19,0.2,0.16,0.18,0.16,0.25,0.12,0.4,0.16
g_0,0.21,0.2,0.21,0.39,0.17,0.13,0.19,0.17,0.1,0.22,0.16,0.3,0.2,0.11,0.14,0.11
